GDC_UUID	CGC_path	sample_type	disease
98C8F873-7132-4781-AB24-A7461E1C8D02	/Datasets/tcga/TCGA-COAD/95d4f0c4-5997-4ffb-b876-0ddfeee972bb/analysis/a616bc26-7068-4b89-b490-236f837e3640/data/UNCID_2185581.02425503-99c9-4a4e-841f-5b8b4de64148.121211_UNC16-SN851_0199_BD1KLUACXX_7_ATCACG.tar.gz	Primary Tumor	Colon Adenocarcinoma
DA8ACB55-0731-458D-B391-D8096708CCD4	/Datasets/tcga/TCGA-HNSC/90a8d2cb-1f31-45f9-8575-eed3cb9a7798/analysis/95dd4887-4d06-477f-8092-9a5267c1158c/data/UNCID_2201837.342c8af0-63af-4201-99f6-97986a78d997.111115_UNC15-SN850_0146_AD078TACXX_4_GATCAG.tar.gz	Primary Tumor	Head and Neck Squamous Cell Carcinoma
1169CD48-BF4F-41D8-BA84-1F83044DB74A	/Datasets/tcga/TCGA-KIRC/4fca10bd-988a-47f9-8ed5-037c0d59d70c/analysis/1d9f278e-7360-4acf-be12-0c0ef0a870f2/data/UNCID_2209813.a90575a7-c09f-4d0c-b64d-c7696e923954.110427_UNC15-SN850_0065_BB09BPABXX_3.tar.gz	Primary Tumor	Kidney Renal Clear Cell Carcinoma
CA985B0C-E8F9-4682-ABAF-A0E482F7DF72	/Datasets/tcga/TCGA-LGG/59012b43-ab0b-42c3-aed3-94e224a3dfa7/analysis/74751375-a312-4059-9f60-7a04d7057138/data/UNCID_2318831.e60804b1-edc8-40e6-b9a1-9a02682f30d6.131112_UNC12-SN629_0335_BC34FKACXX_8_ACTTGA.tar.gz	Primary Tumor	Brain Lower Grade Glioma
23D29C1D-D37F-420D-BC7C-6D17EE1B10EE	/Datasets/tcga/TCGA-SKCM/eff78af6-0f68-49b9-866b-0d511606f2b1/analysis/32053c2a-d9c1-4117-bd05-f5da5e28b4df/data/UNCID_2196205.a57841bb-fa68-4d84-85e0-2d5e4f3ce828.120220_UNC9-SN296_0273_BD0MN6ACXX_2_TAGCTT.tar.gz	Primary Tumor	Skin Cutaneous Melanoma
964526C8-72E3-498C-A413-FBEBD33FDB6C	/Datasets/tcga/TCGA-READ/16a9e1c5-85c2-4930-a16c-af59114bac9a/analysis/4889fddd-2cb2-4d73-b65d-f7dedbd6bca7/data/UNCID_2184719.6c7dfc1d-d2a9-4e92-a3e8-884fe0413f3b.130205_UNC16-SN851_0213_AD1TC5ACXX_2_ATGTCA.tar.gz	Primary Tumor	Rectum Adenocarcinoma
0034ECFD-CA94-4615-94D2-E950A2B240ED	/Datasets/tcga/TCGA-BRCA/c57835be-77ab-4cf5-9b23-62c11a7b2eaf/analysis/98d8dcc8-9321-4234-947e-5f27047c2366/data/UNCID_2185149.d620baa1-c329-46c6-a56a-dc08dfa23470.130124_UNC9-SN296_0328_AD188HACXX_3_GATCAG.tar.gz	Primary Tumor	Breast Invasive Carcinoma
569CFD1F-FFD4-45C2-BCDC-300AED2AB93E	/Datasets/tcga/TCGA-THCA/b0cb6ed7-3d9f-4d5e-8df5-edcc921c43b4/analysis/4cf2b5e4-f0c1-4b3b-a9d5-95039175da9f/data/UNCID_2193012.995d2980-f6c2-4336-8f7f-4e2e4e387cf7.120501_UNC16-SN851_0153_AD106RACXX_2_CAGATC.tar.gz	Primary Tumor	Thyroid Carcinoma
2CCA6EB5-C215-41A9-BCD6-6A77813D319C	/Datasets/tcga/TCGA-OV/61feee94-3ac9-42fe-aaa3-dc6a3efe563c/analysis/8135420e-1541-42ba-ab59-c40c8e789a12/data/TCGA-31-1953-01A-01R-1568-13_rnaseq_fastq.tar	Primary Tumor	Ovarian Serous Cystadenocarcinoma
8879C57E-8876-462F-810E-EE07C2F541AD	/Datasets/tcga/TCGA-UCEC/787d313f-9255-4b93-8ac2-0aa8febb7909/analysis/5d14dc6d-db4a-4418-a536-c18585a40cad/data/UNCID_2203706.fffc5da3-ed33-4f8d-982e-e75b2d707c4b.111103_UNC6-RDR300211_00130_FC_638P5AAXX_6.tar.gz	Primary Tumor	Uterine Corpus Endometrial Carcinoma
