Service,S3 ($),EC2-ELB ($),CloudTrail ($),EC2-Instances ($),SNS ($),EMR ($),SQS ($),SimpleDB ($),EC2-Other ($),Total cost ($)
Service Total,45.5240631800000015,5.4147981500000000,0.00,18813.2884245799996003,0.00,11969.505,0.00,7.21785936999999939,72.29133585000000293,30913.241481129995994
2016-10-23,5.061464310000001,0.60204292,0.0,4933.751618349999,,3821.85,0.0,2.4950709399999997,18.79350843,8782.553704949996
2016-10-22,5.058394680000001,0.60204027,0.0,3136.51519521,,1768.77,0.0,0.46093395,10.098606329999999,4921.505170439999
2016-10-21,5.05472687,0.60205492,,2.11212437,,,,0.46247938999999993,0.43865054,8.670036089999996
2016-10-20,5.054726850000001,0.60208013,,2.1120753700000003,,,,0.46100621,0.4386342,8.668522759999998
2016-10-19,5.054726840000001,0.6020674600000001,,2.11240193,,,,0.46177813,0.43863256,8.66960692
2016-10-18,5.05472682,0.6020951,,2.11229685,,,,0.4623746,0.43861719999999993,8.67011057
2016-10-17,5.05790148,0.60205414,0.0,1694.6059231400004,,1180.44,0.0,1.1960642599999998,5.964774030000001,2887.866717050001
2016-10-16,5.064039409999999,0.6001824099999999,0.0,5854.33275068,,3844.53,0.0,0.76194076,20.33652481,9725.62543807
2016-10-15,5.0633559199999985,0.6001808,0.0,3185.6340386800002,0.0,1353.915,0.0,0.45621112999999996,15.343387750000003,4561.01217428
