SRR1313127	GSM1401713
SRR1299461	GSM1399188
SRR1020594	GSM1254459
SRR1146198	GSM1315736
SRR1146080	GSM1315613
SRR897427	GSM1157561
SRR567439	GSM999531
SRR398208	GSM859991
SRR493944	GSM927311
SRR567131	GSM1000985
SRR191594	GSM715704
SRR066746	GSM593378
SRR1027180	GSM1261025
SRR1274576	GSM1382032
SRR490979	GSM922164
SRR492057	GSM923436
SRR572549	GSM1005575
SRR1295008	GSM1395915
SRR031948	GSM485501
SRR037169	GSM517435
SRR330864	GSM768948
SRR1060764	GSM1298110
SRR934349	GSM1185619
SRR786440	GSM1099814
SRR445727	GSM896812
SRR447139	GSM898968
SRR805748	GSM1113335
SRR1294867	GSM1395774
SRR1146147	GSM1315685
SRR563555	GSM999589
SRR903053	GSM1166093
SRR1294906	GSM1395813
SRR1286930	GSM1386282
SRR903157	GSM1166106
SRR035577	GSM480870
SRR1294730	GSM1395637
SRR1033058	GSM1269108
SRR897508	GSM1157642
SRR1264239	GSM1375527
SRR309267	GSM759890
SRR1026956	GSM1260541
SRR772390	GSM1098223
SRR037704	GSM501716
SRR330907	GSM768991
SRR1200707	GSM1354728
SRR537118	GSM984221
SRR837833	GSM1133334
SRR492035	GSM923425
SRR1204527	GSM1356579
SRR1168233	GSM1326409
SRR346065	GSM798058
SRR309265	GSM759888
SRR1294725	GSM1395632
SRR1293902	GSM1395234
SRR903260	GSM1166119
SRR1015687	GSM1249126
SRR522102	GSM967529
SRR897923	GSM1158057
SRR903027	GSM1166089
SRR998428	GSM1234140
SRR1377206	GSM1409703
SRR772654	GSM1098366
SRR1264123	GSM1375521
SRR1015689	GSM1249128
SRR897710	GSM1157844
SRR1033046	GSM1269096
SRR941575	GSM1192662
SRR948499	GSM1202469
SRR1012334	GSM1243307
SRR372639	GSM838091
SRR566228	GSM999657
SRR772701	GSM1098395
SRR896772	GSM1156906
SRR1177739	GSM1335740
SRR191598	GSM715708
SRR073739	GSM618479
SRR896721	GSM1156855
SRR1033021	GSM1269071
SRR521478	GSM958733
SRR493946	GSM927312
SRR1264324	GSM1375530
SRR772482	GSM1098272
SRR886613	GSM1155385
SRR088864	GSM643913
SRR1033269	GSM1269319
SRR949097	GSM1203323
SRR897175	GSM1157309
SRR398224	GSM860015
SRR1182248	GSM1338315
SRR1313122	GSM1401708
SRR031812	GSM485365
SRR517831	GSM955161
SRR897239	GSM1157373
SRR521508	GSM958740
SRR772348	GSM1098199
SRR073738	GSM618478
SRR897101	GSM1157235
SRR897835	GSM1157969
SRR534175	GSM958731
SRR1028933	GSM1262779
SRR998447	GSM1234159
SRR1060773	GSM1298119
SRR1295005	GSM1395912
SRR772358	GSM1098203
SRR1204520	GSM1356572
SRR500876	GSM937162
SRR490517	GSM921038
SRR567042	GSM1000982
SRR1223559	GSM1365950
SRR446303	GSM897070
SRR398231	GSM860022
SRR500121	GSM936076
SRR934754	GSM1185901
SRR1047854	GSM1288377
SRR834958	GSM1129319
SRR934287	GSM1185611
SRR1521412	GSM1440472
SRR897135	GSM1157269
SRR1032142	GSM1267810
SRR898172	GSM1158306
SRR490362	GSM920999
SRR1294120	GSM1395314
SRR976741	GSM1229367
SRR1216109	GSM1362087
SRR897143	GSM1157277
SRR1296030	GSM1396604
SRR1295286	GSM1396193
SRR490599	GSM921058
SRR1033226	GSM1269276
SRR998262	GSM1233974
SRR490985	GSM922170
SRR1521411	GSM1440471
SRR527594	GSM973666
SRR206973	GSM721696
SRR1032879	GSM1269350
SRR834949	GSM1129313
SRR521158	GSM960599
SRR315317	GSM765396
SRR998499	GSM1234211
SRR1024134	GSM1259119
SRR898240	GSM1158374
SRR424679	GSM883916
SRR399310	GSM862353
SRR897273	GSM1157407
SRR764808	GSM1087888
SRR390523	GSM849357
SRR1036052	GSM1273625
SRR931820	GSM1184597
SRR1294502	GSM1395409
SRR307920	GSM758571
SRR575156	GSM1006909
SRR091666	GSM652290
SRR1174334	GSM1331314
SRR1285998	GSM1385888
SRR903295	GSM1166123
SRR332244	GSM773078
SRR401815	GSM865291
SRR1003769	GSM1241151
SRR1003791	GSM1241173
SRR490303	GSM920984
SRR902964	GSM1166078
SRR896817	GSM1156951
SRR897630	GSM1157764
SRR1044431	GSM1281723
SRR897858	GSM1157992
SRR897096	GSM1157230
SRR897323	GSM1157457
SRR396807	GSM857472
SRR949095	GSM1203321
SRR903297	GSM1166123
SRR396568	GSM856886
SRR944670	GSM1197629
SRR897626	GSM1157760
SRR1033280	GSM1269330
SRR1026971	GSM1260553
SRR1294757	GSM1395664
SRR882007	GSM1154030
SRR903210	GSM1166113
SRR521516	GSM958744
SRR896942	GSM1157076
SRR943354	GSM1196058
SRR898404	GSM1158538
SRR1003779	GSM1241161
SRR567021	GSM1000982
SRR1377174	GSM1409694
SRR1294568	GSM1395475
SRR1238527	GSM1369216
SRR403014	GSM867288
SRR035584	GSM480872
SRR948748	GSM1202567
SRR898146	GSM1158280
SRR1044498	GSM1281790
SRR1107965	GSM1306818
SRR1033177	GSM1269227
SRR791586	GSM1104131
SRR537130	GSM984233
SRR948742	GSM1202561
SRR901967	GSM1164885
SRR490265	GSM920975
SRR566221	GSM999654
SRR094182	GSM650473
SRR1238030	GSM1369087
SRR633574	GSM1053766
SRR805825	GSM1113412
SRR1238535	GSM1369224
SRR534306	GSM981251
SRR893070	GSM1160136
SRR456526	GSM908325
SRR929977	GSM1183335
SRR605000	GSM1023434
SRR934288	GSM1185612
SRR808404	GSM1115023
SRR353643	GSM818571
SRR835929	GSM1119581
SRR934315	GSM1185615
SRR1238012	GSM1369069
SRR805877	GSM1113298
SRR772483	GSM1098272
SRR1286922	GSM1386274
SRR897557	GSM1157691
SRR898359	GSM1158493
SRR1521398	GSM1440458
SRR1033462	GSM1269466
SRR942546	GSM1194681
SRR654042	GSM1074233
SRR1153283	GSM1319851
SRR1027737	GSM1261652
SRR892026	GSM1159900
SRR389026	GSM847884
SRR741924	GSM1084064
SRR1294997	GSM1395904
SRR834940	GSM1129309
SRR976760	GSM1229369
SRR1294516	GSM1395423
SRR364278	GSM832477
SRR1313116	GSM1401702
SRR1033179	GSM1269229
SRR903000	GSM1166084
SRR1164870	GSM1323730
SRR897452	GSM1157586
SRR897436	GSM1157570
SRR1258915	GSM1371580
SRR1294999	GSM1395906
SRR1055098	GSM1294391
SRR943910	GSM1196952
SRR1295322	GSM1396229
SRR399299	GSM862342
SRR897672	GSM1157806
SRR1264318	GSM1375530
SRR1295231	GSM1396138
SRR1264148	GSM1375523
SRR567094	GSM1000984
SRR1264249	GSM1375527
SRR1044483	GSM1281775
SRR827475	GSM1122676
SRR1027743	GSM1261654
SRR903051	GSM1166093
SRR1032913	GSM1268963
SRR408113	GSM874643
SRR567055	GSM1000983
SRR1268177	GSM1378025
SRR949085	GSM1203313
SRR1295178	GSM1396085
SRR1294644	GSM1395551
SRR1295220	GSM1396127
SRR1164855	GSM1323715
SRR836533	GSM1132427
SRR836224	GSM1131549
SRR424591	GSM883635
SRR1058057	GSM1297508
SRR903336	GSM1166130
SRR868885	GSM1150631
SRR923922	GSM1177210
SRR1210372	GSM1358451
SRR1294834	GSM1395741
SRR309289	GSM755026
SRR490464	GSM921025
SRR1044520	GSM1281812
SRR333662	GSM785420
SRR517997	GSM953381
SRR772690	GSM1098388
SRR772581	GSM1098325
SRR393821	GSM855450
SRR646606	GSM1061020
SRR633570	GSM1053762
SRR073777	GSM618517
SRR522074	GSM967501
SRR531459	GSM979870
SRR1118399	GSM1308248
SRR886611	GSM1155385
SRR1003852	GSM1241234
SRR298695	GSM742937
SRR896943	GSM1157077
SRR834964	GSM1129325
SRR944664	GSM1197623
SRR1264296	GSM1375529
SRR1295307	GSM1396214
SRR1026885	GSM1260489
SRR191492	GSM715602
SRR897717	GSM1157851
SRR317037	GSM767840
SRR1168280	GSM1326585
SRR897674	GSM1157808
SRR315315	GSM765395
SRR1044430	GSM1281722
SRR521485	GSM958734
SRR396803	GSM857468
SRR578868	GSM1013697
SRR1036131	GSM1273639
SRR831701	GSM1126815
SRR1266980	GSM1377536
SRR537125	GSM984228
SRR545694	GSM984608
SRR1295163	GSM1396070
SRR1297311	GSM1267264
SRR1036141	GSM1273641
SRR1294607	GSM1395514
SRR772425	GSM1098241
SRR645774	GSM1060231
SRR531825	GSM980645
SRR060893	GSM565959
SRR797061	GSM1105750
SRR897108	GSM1157242
SRR1313202	GSM1401788
SRR531469	GSM980598
SRR903176	GSM1166108
SRR1264078	GSM1375519
SRR309285	GSM741173
SRR772515	GSM1098289
SRR1294675	GSM1395582
SRR1026893	GSM1260494
SRR976757	GSM1229369
SRR896824	GSM1156958
SRR191529	GSM715639
SRR1197163	GSM1348968
SRR772656	GSM1098367
SRR897104	GSM1157238
SRR1168232	GSM1326408
SRR529646	GSM978784
SRR1038627	GSM1275183
SRR903116	GSM1166101
SRR1036047	GSM1273624
SRR897102	GSM1157236
SRR493957	GSM927318
SRR1259328	GSM1373314
SRR070196	GSM602576
SRR898406	GSM1158540
SRR527679	GSM977043
SRR1295010	GSM1395917
SRR191521	GSM715631
SRR898041	GSM1158175
SRR1033194	GSM1269244
SRR1295093	GSM1396000
SRR934836	GSM1185983
SRR1295102	GSM1396009
SRR828716	GSM1124346
SRR1294871	GSM1395778
SRR567124	GSM1000985
SRR299026	GSM749466
SRR315297	GSM765386
SRR1036022	GSM1273619
SRR897442	GSM1157576
SRR529095	GSM978497
SRR948752	GSM1202571
SRR567423	GSM999528
SRR541413	GSM986133
SRR611120	GSM1030555
SRR1033111	GSM1269161
SRR333669	GSM785427
SRR948498	GSM1202468
SRR772418	GSM1098238
SRR1013426	GSM1242499
SRR057658	GSM554134
SRR1223546	GSM1365937
SRR903161	GSM1166106
SRR490534	GSM921042
SRR897464	GSM1157598
SRR1296015	GSM1396588
SRR1210368	GSM1358447
SRR974978	GSM1227198
SRR810098	GSM1115086
SRR898014	GSM1158148
SRR534296	GSM981246
SRR1153281	GSM1319849
SRR039630	GSM475206
SRR897215	GSM1157349
SRR031942	GSM485495
SRR396551	GSM856869
SRR557140	GSM990775
SRR490475	GSM921027
SRR1033461	GSM1269466
SRR837446	GSM1132697
SRR1197161	GSM1348966
SRR539244	GSM985099
SRR1294759	GSM1395666
SRR1282143	GSM1383677
SRR1047631	GSM1287866
SRR1398544	GSM1412710
SRR1237993	GSM1369017
SRR836213	GSM1131538
SRR330917	GSM769001
SRR1295337	GSM1396244
SRR897501	GSM1157635
SRR1003815	GSM1241197
SRR1313223	GSM1401809
SRR903052	GSM1166093
SRR1044551	GSM1281843
SRR1033254	GSM1269304
SRR1178332	GSM1308994
SRR1004287	GSM1241353
SRR903064	GSM1166094
SRR441727	GSM889424
SRR491357	GSM923271
SRR1264190	GSM1375524
SRR1002086	GSM1239129
SRR742825	GSM1084103
SRR868809	GSM1150561
SRR1264310	GSM1375530
SRR897167	GSM1157301
SRR617480	GSM1037855
SRR897332	GSM1157466
SRR578833	GSM1013692
SRR1513331	GSM1435248
SRR521161	GSM960606
SRR1033090	GSM1269140
SRR393763	GSM854406
SRR1003821	GSM1241203
SRR034202	GSM424356
SRR544858	GSM988217
SRR446726	GSM898220
SRR627536	GSM1041191
SRR060985	GSM569189
SRR772436	GSM1098246
SRR490488	GSM921031
SRR572629	GSM1005575
SRR191655	GSM715440
SRR1017164	GSM1250467
SRR836183	GSM1131197
SRR390498	GSM849341
SRR1175201	GSM1333394
SRR898263	GSM1158397
SRR1294517	GSM1395424
SRR1295262	GSM1396169
SRR898017	GSM1158151
SRR897162	GSM1157296
SRR903009	GSM1166086
SRR1146248	GSM1315784
SRR1258910	GSM1371575
SRR502800	GSM938908
SRR479055	GSM913876
SRR934844	GSM1185991
SRR886602	GSM1155382
SRR037219	GSM517441
SRR1398550	GSM1412716
SRR868876	GSM1150622
SRR1294839	GSM1395746
SRR390540	GSM849367
SRR962598	GSM1220553
SRR941569	GSM1192656
SRR896826	GSM1156960
SRR1313171	GSM1401757
SRR490515	GSM921037
SRR491079	GSM922264
SRR742813	GSM1084091
SRR968069	GSM1224490
SRR1295330	GSM1396237
SRR539238	GSM985093
SRR1521385	GSM1440445
SRR531709	GSM980265
SRR772591	GSM1098331
SRR1060788	GSM1298134
SRR903058	GSM1166094
SRR539247	GSM985102
SRR490520	GSM921039
SRR898268	GSM1158402
SRR456529	GSM908328
SRR1004306	GSM1241372
SRR772604	GSM1098339
SRR771561	GSM1095141
SRR493012	GSM925609
SRR567118	GSM1000985
SRR306850	GSM752701
SRR1264084	GSM1375520
SRR1146110	GSM1315648
SRR764797	GSM1087877
SRR592747	GSM1020214
SRR907614	GSM1167069
SRR1295035	GSM1395942
SRR772383	GSM1098218
SRR490296	GSM920983
SRR567148	GSM1000986
SRR898328	GSM1158462
SRR898389	GSM1158523
SRR897457	GSM1157591
SRR1295361	GSM1396268
SRR741935	GSM1084070
SRR1313106	GSM1401692
SRR653421	GSM1067410
SRR1282176	GSM1383754
SRR057630	GSM554078
SRR897879	GSM1158013
SRR903139	GSM1166104
SRR976752	GSM1229368
SRR1294525	GSM1395432
SRR857236	GSM1143923
SRR441566	GSM889284
SRR932165	GSM1185158
SRR572637	GSM1005575
SRR309269	GSM759892
SRR945202	GSM1198465
SRR364267	GSM832466
SRR830972	GSM1126619
SRR1274561	GSM1382017
SRR1026957	GSM1260542
SRR1216016	GSM1361994
SRR837849	GSM1133350
SRR500483	GSM936508
SRR897050	GSM1157184
SRR1193574	GSM1348551
SRR772602	GSM1098338
SRR1521406	GSM1440466
SRR387521	GSM841733
SRR1238022	GSM1369079
SRR333681	GSM785439
SRR1066641	GSM1299398
SRR847515	GSM1136096
SRR566252	GSM999669
SRR1164826	GSM1323686
SRR1032917	GSM1268967
SRR1120098	GSM1308330
SRR931819	GSM1184596
SRR358976	GSM823383
SRR333661	GSM785419
SRR493951	GSM927315
SRR941595	GSM1192682
SRR1013422	GSM1242495
SRR1044499	GSM1281791
SRR572575	GSM1005575
SRR831035	GSM1126682
SRR764803	GSM1087883
SRR067896	GSM603082
SRR1003823	GSM1241205
SRR1057981	GSM1297579
SRR202055	GSM721117
SRR1377217	GSM1409707
SRR514133	GSM949828
SRR1264131	GSM1375522
SRR1294857	GSM1395764
SRR1313111	GSM1401697
SRR521533	GSM958747
SRR578814	GSM1013682
SRR1003766	GSM1241148
SRR897420	GSM1157554
SRR1039511	GSM1275865
SRR1374809	GSM1409649
SRR403879	GSM869033
SRR950081	GSM1206237
SRR534320	GSM981256
SRR898300	GSM1158434
SRR278176	GSM741693
SRR521523	GSM958745
SRR741900	GSM1084056
SRR805879	GSM1113300
SRR070191	GSM602571
SRR039382	GSM530678
SRR1177701	GSM1335702
SRR070177	GSM602557
SRR191505	GSM715615
SRR597891	GSM1023066
SRR868869	GSM1150615
SRR897465	GSM1157599
SRR949594	GSM1204881
SRR1299489	GSM1399209
SRR490970	GSM922155
SRR490243	GSM920969
SRR897307	GSM1157441
SRR903174	GSM1166108
SRR353527	GSM818437
SRR522115	GSM967542
SRR805744	GSM1113331
SRR490238	GSM920968
SRR1294671	GSM1395578
SRR896830	GSM1156964
SRR960411	GSM1220019
SRR897596	GSM1157730
SRR1177754	GSM1335755
SRR772659	GSM1098369
SRR448112	GSM900500
SRR945204	GSM1198466
SRR903078	GSM1166096
SRR479053	GSM913874
SRR1050952	GSM1290218
SRR1289652	GSM1387574
SRR805821	GSM1113408
SRR1295074	GSM1395981
SRR1193566	GSM1348543
SRR896904	GSM1157038
SRR563553	GSM999587
SRR896682	GSM1156816
SRR934633	GSM1172873
SRR1264054	GSM1375518
SRR898207	GSM1158341
SRR191524	GSM715634
SRR1032884	GSM1269355
SRR1164874	GSM1323734
SRR518958	GSM957204
SRR896893	GSM1157027
SRR490430	GSM921016
SRR191559	GSM715669
SRR364271	GSM832470
SRR1238010	GSM1369067
SRR772537	GSM1098302
SRR497915	GSM678539
SRR627498	GSM1046915
SRR563539	GSM999573
SRR039628	GSM475204
SRR903159	GSM1166106
SRR772538	GSM1098302
SRR837449	GSM1132700
SRR764810	GSM1087890
SRR998361	GSM1234073
SRR886610	GSM1155384
SRR446308	GSM897073
SRR1004317	GSM1241383
SRR897261	GSM1157395
SRR897221	GSM1157355
SRR073772	GSM618512
SRR1033038	GSM1269088
SRR965792	GSM956284
SRR919323	GSM1173131
SRR1313142	GSM1401728
SRR202057	GSM721119
SRR929983	GSM1183340
SRR898440	GSM1158574
SRR1027184	GSM1261029
SRR1424749	GSM1415144
SRR772366	GSM1098208
SRR1025672	GSM1260317
SRR038299	GSM485687
SRR944059	GSM1196603
SRR827479	GSM1122677
SRR896769	GSM1156903
SRR897056	GSM1157190
SRR772532	GSM1098299
SRR771548	GSM1095128
SRR1044484	GSM1281776
SRR1294506	GSM1395413
SRR945209	GSM1198468
SRR772456	GSM1098258
SRR387777	GSM836270
SRR534335	GSM981260
SRR805726	GSM1113313
SRR514127	GSM949822
SRR073725	GSM618465
SRR1248258	GSM1370699
SRR1032987	GSM1269037
SRR567458	GSM999535
SRR898304	GSM1158438
SRR898347	GSM1158481
SRR944313	GSM1197355
SRR1033286	GSM1269336
SRR1274562	GSM1382018
