0	SRP031496	SRS491824	SRX365450	SRR1013437
1	SRP022133	SRS418750	SRX275444	SRR846947
2	SRP000996	SRS406768	SRX259082	SRR1067487
3	SRP025982	SRS442947	SRX303617	SRR898150
4	SRP041736	SRS603429	SRX534712	SRR1275091
5	SRP028340	SRS362528	SRX329533	SRR946073
6	SRP031476	SRS491585	SRX365206	SRR1012921
7	SRP021193	SRS414528	SRX268716	SRR830973
8	SRP022054	SRS418143	SRX273725	SRR837844
9	SRP012461	SRS310700	SRX144069	SRR490230
10	SRP033566	SRS512239	SRX388351	SRR1044560
11	SRP019272	SRS401341	SRX249252	SRR772631
12	SRP042184	SRS618259	SRX550523	SRR1296011
13	SRP044668	SRS663228	SRX658069	SRR1521444
14	SRP003611	SRS115066	SRX027123	SRR066423
15	SRP021130	SRS413787	SRX266786	SRR828719
16	ERP004078	ERS359935	ERX329154	ERR356372
17	SRP011233	SRS297210	SRX125271	SRR427102
18	SRP044668	SRS663222	SRX658063	SRR1521438
19	SRP033135	SRS504293	SRX379835	SRR1033145
20	ERP001942	ERS185432	ERX162876	ERR188024
21	SRP019272	SRS401279	SRX249190	SRR772519
22	SRP000941	SRS410259	SRX263861	SRR1045590
23	SRP029592	SRS476883	SRX345503	SRR968070
24	SRP026387	SRS453962	SRX316661	SRR923928
25	SRP040472	SRS580322	SRX498606	SRR1201768
26	SRP010129	SRS284944	SRX114537	SRR396560
27	SRP033135	SRS504382	SRX379925	SRR1033235
28	ERP001344	ERS124299	ERX286320	ERR313172
29	SRP014574	SRS406225	SRX258067	SRR801427
30	SRP007461	SRS242516	SRX085305	SRR317065
31	SRP042161	SRS617142	SRX549342	SRR1294728
32	SRP012585	SRS311715	SRX145392	SRR493017
33	SRP028705	SRS468710	SRX333347	SRR950078
34	SRP003754	SRS352018	SRX171110	SRR527663
35	SRP010129	SRS284924	SRX114517	SRR396540
36	ERP003917	ERS349402	ERX315741	ERR342898
37	SRP041736	SRS603309	SRX534593	SRR1275386
38	SRP015789	SRS363943	SRX187585	SRR572599
39	SRP012656	SRS312080	SRX145890	SRR493963
40	SRP003611	SRS115069	SRX027126	SRR066451
41	SRP033135	SRS504280	SRX379822	SRR1033132
42	SRP010907	SRS291822	SRX119645	SRR408115
43	ERP002075	ERS202176	ERX190349	ERR215684
44	ERP000546	ERS025095	ERX011214	ERR030898
45	SRP041736	SRS603327	SRX534610	SRR1275356
46	SRP017138	SRS375022	SRX204122	SRR616069
47	SRP022772	SRS421344	SRX278452	SRR851715
48	SRP002079	SRS011902	SRX017383	SRR037217
49	DRP000987	DRS005779	DRX005651	DRR006439
50	SRP006574	SRS190644	SRX059579	SRR191584
51	SRP041825	SRS604700	SRX539592	SRR1282148
52	SRP025982	SRS442206	SRX302876	SRR897409
53	SRP026084	SRS445536	SRX306610	SRR901898
54	SRP011546	SRS310936	SRX144345	SRR490966
55	SRP042161	SRS617078	SRX549322	SRR1294708
56	SRP001563	SRS009364	SRX014934	SRR032244
57	SRP026389	SRS454400	SRX317165	SRR924538
58	SRP033266	SRS506075	SRX381861	SRR1036094
59	SRP031858	SRS493227	SRX367104	SRR1015692
60	SRP045048	SRS669815	SRX664961	SRR1531143
61	SRP012461	SRS310756	SRX144125	SRR490453
62	SRP010181	SRS285149	SRX114784	SRR397057
63	SRP033117	SRS503497	SRX378932	SRR1032150
64	SRP034547	SRS516114	SRX393164	SRR1051353
65	SRP014830	SRS356038	SRX176433	SRR542395
66	SRP025982	SRS441590	SRX302260	SRR896793
67	SRP040070	SRS575623	SRX492466	SRR1195619
68	SRP036848	SRS554944	SRX467279	SRR1164839
69	SRP042161	SRS617734	SRX549827	SRR1295213
70	SRP014146	SRS348794	SRX158084	SRR519069
71	SRP035862	SRS543672	SRX450261	SRR1145038
72	SRP032775	SRS499961	SRX374593	SRR1026883
73	SRP017465	SRS378921	SRX209056	SRR629557
74	SRP025982	SRS442088	SRX302758	SRR897291
75	SRP033266	SRS506064	SRX381849	SRR1036025
76	SRP028720	SRS468954	SRX333606	SRR950388
77	SRP040547	SRS582823	SRX501772	SRR1205954
78	SRP033569	SRS512345	SRX388458	SRR1044671
79	SRP006575	SRS190731	SRX059666	SRR191680
80	SRP017262	SRS376478	SRX205710	SRR620152
81	SRP030041	SRS484669	SRX356477	SRR998197
82	SRP016568	SRS371352	SRX198056	SRR597888
83	SRP026126	SRS445977	SRX307118	SRR903339
84	SRP030628	SRS488287	SRX361145	SRR1004310
85	SRP006574	SRS190564	SRX059499	SRR191504
86	SRP009862	SRS282712	SRX111956	SRR390524
87	SRP025982	SRS443037	SRX303708	SRR898241
88	SRP041471	SRS598106	SRX528201	SRR1264323
89	SRP040117	SRS572549	SRX489045	SRR1192055
90	SRP010181	SRS285231	SRX114866	SRR397391
91	SRP001540	SRS008846	SRX014553	SRR031833
92	SRP025982	SRS442762	SRX303432	SRR897965
93	SRP013021	SRS332919	SRX147675	SRR496581
94	SRP041471	SRS598095	SRX528190	SRR1264068
95	SRP042161	SRS617211	SRX549436	SRR1294822
96	SRP006574	SRS190512	SRX059447	SRR191452
97	SRP028291	SRS464662	SRX328523	SRR944029
98	SRP032775	SRS500053	SRX374685	SRR1027005
99	SRP012461	SRS310760	SRX144129	SRR490470
100	ERP003613	ERS326975	ERX288617	ERR315453
101	SRP040070	SRS572907	SRX489453	SRR1192497
102	SRP026126	SRS445972	SRX307113	SRR903309
103	SRP019272	SRS401277	SRX249188	SRR772516
104	SRP007461	SRS241963	SRX084678	SRR315326
105	SRP032798	SRS500409	SRX375131	SRR1027595
106	SRP007525	SRS362050	SRX185895	SRR566989
107	SRP003754	SRS352021	SRX171113	SRR527670
108	SRP019272	SRS401188	SRX249099	SRR772352
109	SRP007461	SRS241964	SRX084679	SRR315327
110	ERP002045	ERS197530	ERX182652	ERR266335
111	SRP025982	SRS443012	SRX303682	SRR898215
112	SRP026126	SRS445957	SRX307098	SRR903187
113	SRP040472	SRS580330	SRX498631	SRR1201796
114	SRP041736	SRS603251	SRX534534	SRR1274306
115	SRP012461	SRS310770	SRX144139	SRR490510
116	SRP024274	SRS437930	SRX297208	SRR886589
117	SRP025982	SRS441685	SRX302355	SRR896888
118	SRP016858	SRS373257	SRX201692	SRR609429
119	DRP000987	DRS005805	DRX005677	DRR006465
120	SRP017465	SRS378930	SRX209065	SRR629569
121	SRP001540	SRS008957	SRX014664	SRR031944
122	DRP000987	DRS005818	DRX005690	DRR006478
123	SRP033135	SRS504275	SRX379817	SRR1033127
124	SRP026126	SRS445969	SRX307110	SRR903286
125	SRP001313	SRS006753	SRX012255	SRR029124
126	SRP014020	SRS348416	SRX345043	SRR965794
127	SRP025982	SRS442831	SRX303501	SRR898034
128	ERP001942	ERS185498	ERX162769	ERR188204
129	SRP033135	SRS504416	SRX379958	SRR1033268
130	SRP002487	SRS073147	SRX020787	SRR048980
131	SRP006574	SRS190662	SRX059597	SRR191602
132	SRP026126	SRS445951	SRX307093	SRR903151
133	SRP042620	SRS624269	SRX559725	SRR1313074
134	SRP041736	SRS603490	SRX534773	SRR1275037
135	SRP033291	SRS506984	SRX380250	SRR1033613
136	SRP007498	SRS228114	SRX083304	SRR309284
137	SRP017933	SRS385642	SRX216784	SRR648418
138	SRP010280	SRS285659	SRX115537	SRR398232
139	SRP014428	SRS350495	SRX160260	SRR522121
140	SRP011278	SRS297285	SRX126486	SRR433867
141	SRP009251	SRS270002	SRX105123	SRR363758
142	SRP010181	SRS285253	SRX114888	SRR397233
143	SRP000941	SRS366515	SRX263859	SRR1220438
144	SRP008216	SRS261028	SRX097114	SRR343333
145	SRP041471	SRS598095	SRX528190	SRR1264069
146	SRP040070	SRS573037	SRX489593	SRR1192641
147	SRP028301	SRS464860	SRX328720	SRR944301
148	SRP029739	SRS478208	SRX347411	SRR974974
149	SRP028301	SRS464863	SRX328723	SRR944304
150	SRP035988	SRS544533	SRX451321	SRR1146095
151	SRP044187	SRS655787	SRX648508	SRR1509734
152	SRP010181	SRS285167	SRX114802	SRR397003
153	SRP028291	SRS464716	SRX328577	SRR944083
154	SRP033117	SRS503494	SRX378929	SRR1032147
155	SRP022052	SRS418092	SRX273677	SRR837794
156	SRP014624	SRS352347	SRX171598	SRR529096
157	SRP033135	SRS504123	SRX379665	SRR1032975
158	SRP029953	SRS480989	SRX351949	SRR1005606
159	SRP035988	SRS544589	SRX451377	SRR1146152
160	SRP042153	SRS616748	SRX548786	SRR1294108
161	SRP007525	SRS362055	SRX185900	SRR567137
162	SRP025982	SRS442978	SRX303648	SRR898181
163	SRP013825	SRS346346	SRX155064	SRR514144
164	SRP041471	SRS598104	SRX528199	SRR1264270
165	SRP018716	SRS396284	SRX241578	SRR741904
166	SRP000941	SRS366520	SRX263873	SRR1220495
167	SRP015868	SRS365297	SRX189223	SRR576131
168	SRP014020	SRS348420	SRX345047	SRR965798
169	SRP042161	SRS617392	SRX549586	SRR1294972
170	SRP029889	SRS479323	SRX348547	SRR976231
171	ERP004375	ERS481281	ERX615343	ERR659022
172	SRP011903	SRS302267	SRX130905	SRR447175
173	SRP012461	SRS310704	SRX144073	SRR490244
174	SRP041377	SRS595895	SRX523883	SRR1258914
175	ERP001942	ERS185280	ERX163125	ERR188341
176	SRP026389	SRS454395	SRX317160	SRR924533
177	SRP042161	SRS617014	SRX549262	SRR1294648
178	SRP018883	SRS398475	SRX246013	SRR766071
179	SRP002126	SRS025333	SRX018029	SRR038447
180	ERP004697	ERS399655	ERX386681	ERR420386
181	SRP033135	SRS504132	SRX379674	SRR1032984
182	SRP041736	SRS603269	SRX534552	SRR1274343
183	SRP005309	SRS152615	SRX038450	SRR094131
184	SRP025982	SRS442781	SRX303451	SRR897984
185	SRP041736	SRS603254	SRX534535	SRR1274308
186	SRP021130	SRS413793	SRX266793	SRR828726
187	SRP019817	SRS402961	SRX252558	SRR787328
188	SRP029592	SRS476886	SRX345505	SRR968072
189	SRP007525	SRS362052	SRX185897	SRR567062
190	SRP010181	SRS285176	SRX114811	SRR397156
191	SRP032456	SRS497500	SRX372072	SRR1023006
192	SRP033119	SRS503508	SRX378943	SRR1032163
193	SRP025982	SRS442770	SRX303440	SRR897973
194	SRP014020	SRS348425	SRX345052	SRR965803
195	SRP025982	SRS441950	SRX302619	SRR897152
196	DRP000987	DRS005824	DRX005696	DRR006484
197	SRP032775	SRS499965	SRX374597	SRR1026890
198	SRP010483	SRS290097	SRX117477	SRR401822
199	SRP014320	SRS350186	SRX159829	SRR521515
200	SRP042161	SRS617342	SRX549495	SRR1294881
201	SRP041736	SRS603356	SRX534639	SRR1275283
202	SRP040472	SRS580340	SRX498677	SRR1201864
203	SRP033566	SRS512149	SRX388262	SRR1044471
204	SRP010181	SRS285215	SRX114850	SRR397255
205	SRP045048	SRS669821	SRX664967	SRR1531149
206	SRP012100	SRS308344	SRX136682	SRR456936
207	SRP025982	SRS443151	SRX303821	SRR898354
208	SRP028170	SRS463656	SRX327273	SRR942435
209	SRP006575	SRS190750	SRX059685	SRR191702
210	SRP026126	SRS445929	SRX307070	SRR902987
211	SRP041736	SRS603498	SRX534781	SRR1274151
