batch number	flow type	creation date	end date	number of instances	instance type	number of active worker cores	exclude (exclude = 1 when job flow didn't start)	notes
16	prep	2015-12-01 15:52 (UTC-5)	2015-12-01 16:21 (UTC-5)	21	m3.xlarge	80	0	job flow failed due to instance failure
16	prep	2015-12-01 17:29 (UTC-5)	2015-12-02 04:07 (UTC-5)	21	m3.xlarge	80	0	NA
16	align	2015-12-02 06:48 (UTC-5)	2015-12-02 22:40 (UTC-5)	81	c3.8xlarge	2560	0	NA
17	prep	2015-12-01 20:18 (UTC-5)	2015-12-02 06:00 (UTC-5)	21	m3.xlarge	80	0	NA
17	align	2015-12-02 06:49 (UTC-5)	2015-12-03 01:21 (UTC-5)	81	c3.8xlarge	2560	0	NA
18	prep	2015-12-02 01:50 (UTC-5)	2015-12-02 09:46 (UTC-5)	21	m3.xlarge	80	0	job flow terminated manually because it was accidentally restarted
18	prep	2015-12-02 06:52 (UTC-5)	2015-12-02 07:14 (UTC-5)	21	m3.xlarge	80	0	job flow failed because it detected output from redundant job flow
18	prep	2015-12-02 09:45 (UTC-5)	2015-12-02 21:08 (UTC-5)	21	m3.xlarge	80	0	NA
18	align	2015-12-03 00:07 (UTC-5)	2015-12-03 13:51 (UTC-5)	81	c3.8xlarge	2560	0	NA
19	prep	2015-12-02 01:52 (UTC-5)	2015-12-02 09:45 (UTC-5)	21	m3.xlarge	80	0	NA
19	align	2015-12-02 13:41 (UTC-5)	2015-12-03 05:05 (UTC-5)	81	c3.8xlarge	2560	0	NA
20	prep	2015-12-02 09:25 (UTC-5)	2015-12-02 22:49 (UTC-5)	21	m3.xlarge	80	0	NA
20	align	2015-12-03 00:08 (UTC-5)	2015-12-03 18:14 (UTC-5)	81	c3.8xlarge	2560	0	NA
21	prep	2015-12-02 13:43 (UTC-5)	2015-12-03 01:18 (UTC-5)	21	m3.xlarge	80	0	NA
21	align	2015-12-03 01:26 (UTC-5)	2015-12-03 15:03 (UTC-5)	81	c3.8xlarge	2560	0	NA
22	prep	2015-12-02 19:52 (UTC-5)	2015-12-03 07:57 (UTC-5)	21	m3.xlarge	80	0	NA
22	align	2015-12-03 17:56 (UTC-5)	2015-12-04 10:28 (UTC-5)	81	c3.8xlarge	2560	0	job flow failed due to benign error where history wasn't uploaded; resumed
22	align	2015-12-04 10:59 (UTC-5)	2015-12-04 15:20 (UTC-5)	81	c3.8xlarge	2560	0	resumed job flow
23	prep	2015-12-02 19:52 (UTC-5)	2015-12-03 06:27 (UTC-5)	21	m3.xlarge	80	0	NA
23	align	2015-12-03 06:33 (UTC-5)	2015-12-04 00:20 (UTC-5)	81	c3.8xlarge	2560	0	NA
24	prep	2015-12-03 00:00 (UTC-5)	2015-12-03 11:28 (UTC-5)	21	m3.xlarge	80	0	NA
24	align	2015-12-03 12:20 (UTC-5)	2015-12-04 04:00 (UTC-5)	81	c3.8xlarge	2560	0	NA
25	prep	2015-12-03 06:28 (UTC-5)	2015-12-03 16:25 (UTC-5)	21	m3.xlarge	80	0	NA
25	align	2015-12-03 16:25 (UTC-5)	2015-12-04 06:13 (UTC-5)	81	c3.8xlarge	2560	0	NA
26	prep	2015-12-03 06:42 (UTC-5)	2015-12-03 14:32 (UTC-5)	21	m3.xlarge	80	0	NA
26	align	2015-12-03 16:01 (UTC-5)	2015-12-04 03:43 (UTC-5)	81	c3.8xlarge	2560	0	NA
27	prep	2015-12-03 09:48 (UTC-5)	2015-12-03 19:55 (UTC-5)	21	m3.xlarge	80	0	NA
27	align	2015-12-03 20:02 (UTC-5)	2015-12-04 13:09 (UTC-5)	81	c3.8xlarge	2560	0	NA
28	prep	2015-12-03 15:11 (UTC-5)	2015-12-04 00:17 (UTC-5)	21	m3.xlarge	80	0	NA
28	align	2015-12-04 00:44 (UTC-5)	2015-12-04 16:08 (UTC-5)	81	c3.8xlarge	2560	0	NA
29	prep	2015-12-03 15:11 (UTC-5)	2015-12-04 00:34 (UTC-5)	21	m3.xlarge	80	0	NA
29	align	2015-12-04 00:45 (UTC-5)	2015-12-04 18:23 (UTC-5)	81	c3.8xlarge	2560	0	NA
