Service,Amazon Elastic Compute Cloud,Amazon Elastic MapReduce,Amazon Simple Storage Service,Amazon Simple Queue Service,Amazon SimpleDB,Daily Total
Service Total,16438.8237689000,10987.9900000000,941.1469578400,0.1884136500,0.0003237300,28368.1494641200
2015-12-04,3540.0075433300,2447.8800000000,259.3795590400,0.0584891700,0.0000798800,6247.3256714200
2015-12-03,2978.2435914000,2070.7200000000,269.7558952800,0.0440118200,0.0000804700,5318.7635789700
2015-12-02,3543.7409611000,2617.1400000000,182.3143625100,0.0576925200,0.0000799300,6343.2530960600
2015-12-01,4120.2362005700,2513.9800000000,189.4691714400,0.0048073700,0.0000000000,6823.6901793800
2015-11-30,2256.5954725000,1338.2700000000,40.2279695700,0.0234127700,0.0000834500,3635.1169382900
