project	sample	experiment	run	read count as reported by SRA	reads aligned	proportion of reads reported by SRA aligned	paired-end	SRA misreported paired-end
SRP012682	SRS333004	SRX198185	SRR598364	182469728	163908673	0.898278716128	1	0
SRP012682	SRS333213	SRX199537	SRR603236	164561954	147821580	0.898273120894	1	0
SRP012682	SRS333281	SRX198277	SRR599380	184328986	165573083	0.898247674405	1	1
SRP012682	SRS333624	SRX199119	SRR601169	189162206	169909378	0.89822053566	1	0
SRP012682	SRS333473	SRX198198	SRR598533	171552518	154086287	0.898187265313	1	0
SRP012682	SRS333602	SRX198208	SRR598589	172638662	155052624	0.898133837483	1	0
SRP012682	SRS333231	SRX198199	SRR598452	220233006	197798141	0.898131231973	1	0
SRP012682	SRS333336	SRX199382	SRR607337	172977120	155325039	0.897951353335	1	0
SRP012682	SRS336664	SRX199471	SRR602895	172107260	154530973	0.897875969904	1	0
SRP012682	SRS333474	SRX199032	SRR606939	189907530	170497100	0.89779009816	1	0
SRP012682	SRS333613	SRX199589	SRR604230	156777650	140719697	0.897574985975	1	0
SRP012682	SRS408204	SRX260083	SRR809065	116364824	89968640	0.773160108935	1	0
