2	SRP059950	SRS973948	SRX1075712	SRR2081134
109	SRP060715	SRS988149	SRX1092545	SRR2097512
169	SRP060715	SRS988140	SRX1092554	SRR2097521
303	SRP051472	SRS801150	SRX821404	SRR1732023
308	DRP002586	DRS019265	DRX022658	DRR024997
316	DRP002586	DRS019265	DRX022505	DRR024844
326	DRP002435	DRS016933	DRX019713	DRR028582
334	DRP002435	DRS016933	DRX019711	DRR028192
338	DRP002435	DRS016933	DRX019714	DRR028384
344	DRP002435	DRS016933	DRX019713	DRR028573
350	DRP002435	DRS016933	DRX019715	DRR028488
365	DRP002435	DRS016933	DRX019715	DRR028507
479	DRP002435	DRS016933	DRX019714	DRR028416
495	DRP002435	DRS016933	DRX019715	DRR028480
497	DRP002435	DRS016933	DRX019715	DRR028509
572	SRP051249	SRS795848	SRX815502	SRR1721290
794	DRP002586	DRS019265	DRX022576	DRR024915
814	SRP051472	SRS801161	SRX821415	SRR1732034
826	SRP061033	SRS989929	SRX1094534	SRR2099844
843	DRP002435	DRS016933	DRX019713	DRR028518
846	DRP002586	DRS019265	DRX022565	DRR024904
847	DRP002435	DRS016933	DRX019715	DRR028467
886	DRP002435	DRS016933	DRX019712	DRR028250
904	DRP002435	DRS016933	DRX019712	DRR028261
918	DRP002435	DRS016933	DRX019712	DRR028321
971	DRP002435	DRS016933	DRX019712	DRR028255
977	DRP001797	DRS016620	DRX021449	DRR023649
1004	DRP002435	DRS016933	DRX019714	DRR021561
1066	DRP002860	DRS022649	DRX026176	DRR029101
1090	DRP002860	DRS022650	DRX026177	DRR029107
1278	DRP002586	DRS019265	DRX022498	DRR024837
1295	SRP060637	SRS987013	SRX1091356	SRR2096237
1321	SRP051472	SRS801212	SRX821466	SRR1732085
1325	SRP051472	SRS801189	SRX821443	SRR1732062
1349	DRP002851	DRS022478	DRX042184	DRR046896
1350	DRP002625	DRS019495	DRX030655	DRR033935
1363	DRP002435	DRS016933	DRX019713	DRR028603
1368	DRP002435	DRS016933	DRX019714	DRR028341
1378	DRP002435	DRS016933	DRX019715	DRR028476
1465	DRP002435	DRS016933	DRX019711	DRR028140
1589	DRP002860	DRS022649	DRX026176	DRR029102
1798	DRP002586	DRS019265	DRX022662	DRR025001
