5446	SRP026297	SRS452387	SRX314811	SRR921551	296688	30256	20509.0404836	0.101979
17408	SRP032775	SRS562539	SRX476825	SRR1177714	130896	13233	20491.7159577	0.101096
17307	SRP007461	SRS358731	SRX179443	SRR545717	374431	37849	20486.2689895	0.101084
18043	SRP007461	SRS353544	SRX174319	SRR534304	635831	63600	20481.5417981	0.100027
6967	ERP001344	ERS092703	ERX286300	ERR313152	227391	22709	20540.5959075	0.0998676
6281	DRP001055	DRS011389	DRX011553	DRR012597	291361	28985	20486.5752486	0.0994814
10218	SRP007461	SRS241955	SRX084670	SRR315309	179157	17801	20483.7517596	0.0993598
12743	SRP007461	SRS358729	SRX179441	SRR545713	264771	26190	20488.177984	0.0989157
21151	SRP007461	SRS358725	SRX179437	SRR545706	330552	31858	20489.4301199	0.0963782
8072	SRP029990	SRS481299	SRX352332	SRR988500	163235	15719	20473.4681165	0.0962968
17873	ERP001344	ERS092702	ERX286299	ERR313151	221930	21358	20532.0229622	0.0962376
17648	ERP002045	ERS197535	ERX182675	ERR266343	539611	51614	20483.6358432	0.0956504
20925	SRP014670	SRS352773	SRX172966	SRR531456	128232	12192	20586.3429409	0.0950777
21014	SRP007881	SRS258176	SRX092489	SRR332273	167776	15797	20531.8561415	0.0941553
11243	SRP007461	SRS358719	SRX179431	SRR545690	380990	35812	20489.2549621	0.0939972
10866	DRP001055	DRS011388	DRX011552	DRR012596	281082	26398	20486.3836069	0.0939157
7716	SRP007461	SRS353539	SRX174314	SRR534293	551276	51342	20484.3559052	0.093133
13028	SRP032775	SRS562538	SRX476823	SRR1177712	107267	9938	20505.1294806	0.0926473
2498	DRP001055	DRS011387	DRX011551	DRR012595	279894	25896	20483.3955926	0.0925207
7138	SRP007461	SRS241955	SRX084670	SRR315310	204437	18687	20475.4664811	0.0914071
7436	SRP007461	SRS358723	SRX179435	SRR545701	326194	29700	20488.6662875	0.0910501
16921	SRP040472	SRS580287	SRX498521	SRR1201689	139308	12627	20474.433665	0.0906409
13734	SRP026297	SRS452386	SRX314812	SRR921552	195660	17565	20526.4802719	0.0897731
3153	SRP026600	SRS455413	SRX318470	SRR926700	578845	51871	20480.8578791	0.0896112
20157	SRP017262	SRS376481	SRX205714	SRR620164	108877	9754	20479.0255885	0.0895873
16326	SRP007461	SRS358726	SRX179438	SRR545707	306464	27420	20486.9962802	0.0894722
