746	SRP041736	SRS603222	SRX534505	SRR1274249	1	0	16948.0
7895	SRP033566	SRS512179	SRX388292	SRR1044501	1	0	17932.0
15798	SRP000729	SRS009811	SRX015685	SRR033721	3	0	18008.6666667
7281	SRP041736	SRS603538	SRX534821	SRR1274086	1	0	18682.0
17879	SRP022043	SRS417898	SRX273470	SRR837490	2	0	18855.5
17922	SRP010129	SRS284932	SRX114525	SRR396548	1	0	19164.0
19708	SRP006574	SRS190678	SRX059613	SRR191618	1	0	19164.0
3404	SRP006574	SRS190656	SRX059591	SRR191596	1	0	19164.0
14373	SRP022043	SRS417906	SRX273478	SRR837498	1	0	19350.0
10328	SRP041736	SRS603262	SRX534545	SRR1274329	9	0	19436.3333333
11862	SRP041736	SRS603258	SRX534540	SRR1274319	1	0	19550.0
11852	SRP019272	SRS401312	SRX249223	SRR772580	20	1	19586.55
10134	SRP022043	SRS417877	SRX273449	SRR837469	1	0	19661.0
11910	SRP022043	SRS417846	SRX273418	SRR837438	1	0	19661.0
14616	SRP022043	SRS417880	SRX273452	SRR837472	1	0	19661.0
19316	SRP022043	SRS417864	SRX273436	SRR837456	1	0	19661.0
19992	SRP022043	SRS417910	SRX273482	SRR837502	1	0	19661.0
6981	SRP022043	SRS417875	SRX273447	SRR837467	1	0	19661.0
7075	SRP022043	SRS417852	SRX273424	SRR837444	1	0	19661.0
2787	SRP042161	SRS617339	SRX549492	SRR1294878	6	1	19667.1666667
6721	SRP034586	SRS516529	SRX395495	SRR1054222	7	1	19696.2857143
19892	SRP019272	SRS401241	SRX249152	SRR772449	3	0	19697.6666667
9560	SRP015976	SRS366643	SRX190915	SRR578850	15	8	19738.6
13954	SRP036848	SRS554957	SRX467292	SRR1164852	20514	163	19752.918251
10167	SRP033566	SRS512145	SRX388258	SRR1044467	1	0	19799.0
10601	SRP033566	SRS512208	SRX388321	SRR1044530	1	0	19799.0
16330	SRP015976	SRS366641	SRX190913	SRR578838	1	0	19799.0
16343	SRP012546	SRS311230	SRX144687	SRR491347	1	0	19799.0
18641	SRP033566	SRS512220	SRX388333	SRR1044542	1	0	19799.0
19607	SRP042161	SRS617576	SRX549668	SRR1295054	4	1	19807.25
103	SRP019272	SRS401277	SRX249188	SRR772516	6	0	19870.5
3602	SRP014675	SRS352981	SRX173104	SRR531703	26	6	19884.8461538
15664	SRP019272	SRS401265	SRX249176	SRR772493	4	0	19887.25
8623	SRP019272	SRS401225	SRX249136	SRR772416	3	0	19899.6666667
1052	SRP019272	SRS401206	SRX249117	SRR772383	6	0	19901.3333333
3854	SRP012546	SRS311247	SRX144704	SRR491364	4	0	19915.0
11685	SRP019272	SRS401286	SRX249197	SRR772531	25	0	19918.8
6327	SRP006574	SRS190454	SRX059389	SRR191394	2	0	19953.0
3435	SRP006574	SRS190466	SRX059401	SRR191406	1	1	19954.0
971	SRP019272	SRS401234	SRX249145	SRR772436	4	0	19971.75
