min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1572	88151	85386	87903	87157	140	3331	84548
1571	88335	85564	88086	87339	140	3337	84725
1570	88524	85751	88275	87525	140	3342	84909
1569	88711	85934	88462	87707	140	3351	85087
1568	88884	86105	88634	87876	140	3355	85255
1567	89053	86266	88802	88041	140	3365	85413
1566	89225	86429	88973	88210	141	3373	85575
1565	89410	86611	89158	88393	141	3378	85755
1564	89581	86772	89329	88563	141	3389	85915
1563	89748	86935	89496	88726	142	3395	86075
1562	89901	87085	89647	88874	143	3400	86221
1561	90066	87246	89811	89034	143	3407	86378
1560	90224	87398	89968	89191	143	3412	86530
1559	90399	87569	90142	89363	144	3418	86698
1558	90567	87732	90309	89529	144	3423	86860
1557	90741	87900	90482	89700	145	3428	87027
1556	90928	88080	90667	89884	146	3435	87205
1555	91116	88264	90855	90070	146	3441	87387
1554	91282	88426	91021	90235	146	3446	87548
1553	91429	88572	91167	90380	146	3450	87691
1552	91608	88745	91344	90557	146	3454	87864
1551	91763	88897	91499	90711	146	3458	88015
1550	91929	89059	91665	90876	146	3463	88176
1549	92091	89219	91827	91038	146	3465	88336
1548	92248	89372	91983	91192	146	3470	88487
1547	92393	89513	92127	91332	147	3478	88623
1546	92549	89667	92282	91486	147	3480	88776
1545	92704	89818	92437	91641	147	3484	88927
1544	92847	89956	92578	91781	148	3489	89063
1543	93006	90111	92736	91938	148	3493	89217
1542	93155	90256	92885	92087	148	3497	89362
1541	93324	90422	93054	92253	148	3503	89525
1540	93476	90571	93206	92403	148	3508	89672
1539	93630	90719	93360	92555	148	3516	89818
1538	93772	90854	93502	92697	148	3523	89953
1537	93926	91001	93654	92848	148	3532	90097
1536	94067	91139	93795	92988	148	3536	90234
1535	94197	91264	93924	93117	148	3540	90359
1534	94330	91391	94057	93248	148	3548	90484
1533	94455	91510	94180	93371	149	3553	90602
1532	94599	91652	94324	93514	149	3556	90743
1531	94755	91803	94480	93668	149	3563	90892
1530	94899	91938	94622	93811	150	3570	91027
1529	95036	92072	94759	93947	150	3574	91160
1528	95180	92206	94903	94087	150	3588	91290
1527	95297	92319	95019	94201	151	3594	91400
1526	95437	92457	95158	94340	152	3596	91537
1525	95588	92596	95309	94489	152	3610	91674
1524	95738	92740	95457	94636	153	3616	91816
1523	95891	92892	95610	94789	153	3617	91968
1522	96033	93031	95750	94928	153	3622	92104
1521	96166	93161	95883	95060	153	3626	92233
1520	96289	93280	96004	95180	155	3631	92349
1519	96426	93412	96141	95316	155	3637	92480
1518	96550	93533	96265	95437	155	3643	92598
1517	96684	93660	96398	95566	155	3653	92721
1516	96818	93791	96532	95698	155	3658	92850
1515	96931	93899	96645	95810	156	3662	92958
1514	97055	94018	96769	95933	156	3668	93076
1513	97182	94143	96896	96060	156	3670	93201
1512	97305	94264	97018	96182	157	3672	93321
1511	97435	94388	97147	96309	158	3677	93444
1510	97582	94528	97292	96452	158	3684	93582
1509	97730	94672	97440	96599	158	3689	93725
1508	97863	94802	97573	96732	158	3692	93855
1507	97992	94929	97702	96861	158	3694	93982
1506	98143	95074	97850	97008	158	3698	94126
1505	98258	95187	97965	97120	158	3703	94236
1504	98381	95306	98087	97240	158	3708	94353
1503	98530	95444	98234	97385	159	3717	94490
1502	98652	95562	98356	97507	159	3721	94608
1501	98796	95702	98497	97647	160	3724	94746
1500	98921	95821	98622	97772	160	3730	94865
1499	99053	95947	98754	97900	160	3740	94987
1498	99184	96072	98884	98028	160	3747	95110
1497	99304	96192	99004	98147	160	3748	95229
1496	99444	96329	99143	98286	160	3750	95366
1495	99573	96452	99272	98414	160	3757	95488
1494	99706	96582	99404	98545	160	3760	95617
1493	99823	96698	99521	98661	160	3762	95732
1492	99947	96818	99645	98785	160	3766	95852
1491	100067	96933	99765	98900	161	3774	95963
1490	100186	97044	99884	99019	161	3782	96074
1489	100330	97181	100028	99163	161	3789	96211
1488	100443	97290	100140	99276	162	3792	96320
1487	100569	97411	100264	99399	162	3796	96440
1486	100684	97522	100379	99513	162	3801	96550
1485	100801	97635	100495	99628	163	3806	96661
1484	100933	97764	100626	99758	163	3809	96789
1483	101065	97892	100758	99889	163	3814	96916
1482	101192	98018	100884	100014	164	3816	97040
1481	101299	98122	100991	100120	164	3820	97143
1480	101435	98252	101127	100253	164	3829	97270
1479	101557	98371	101247	100372	166	3833	97386
1478	101672	98480	101361	100484	166	3840	97493
1477	101785	98589	101473	100595	166	3844	97601
1476	101901	98703	101588	100710	166	3845	97715
1475	102021	98822	101708	100830	166	3846	97834
1474	102130	98929	101816	100936	166	3849	97939
1473	102245	99036	101931	101049	167	3857	98045
1472	102355	99139	102041	101157	167	3866	98146
1471	102480	99262	102166	101281	167	3869	98268
