sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
13042	SRP007461	SRS353538	SRX174313	SRR534292	363756	174823	159373	134365	85187493	84282233
13043	SRP042161	SRS617239	SRX549554	SRR1294940	35	1	6	0	139	1
13044	SRP034698	SRS518771	SRX398307	SRR1057527	513	412	18	5	1264	514
13045	SRP006575	SRS190727	SRX059662	SRR191672	421	121	18	15	791	428
13046	SRP010181	SRS285128	SRX114763	SRR397036	19259	18466	1008	976	39075	35508
13047	DRP001797	DRS016623	DRX021456	DRR023690	109275	99977	54950	54537	1568858	1550633
13048	SRP001563	SRS009389	SRX014959	SRR032269	131552	106046	53175	52385	1782052	1731649
13049	SRP035988	SRS544650	SRX451438	SRR1146213	199483	158581	106234	104311	5372346	5266012
13050	SRP041736	SRS603225	SRX534508	SRR1274254	18352	13759	12926	12000	2335905	2245296
13051	SRP022920	SRS426913	SRX283705	SRR863380	5031	3639	782	708	70227	67379
13052	SRP025982	SRS588860	SRX510342	SRR1216112	676	645	0	0	771	736
13053	ERP002588	ERS333914	ERX298126	ERR325026	68677	60614	23165	22707	482356	464673
13054	SRP012167	SRS308874	SRX140512	SRR479062	179418	146479	104027	102243	4731319	4657038
13055	SRP022054	SRS418125	SRX273707	SRR837826	29	0	0	0	31	0
13056	SRP040070	SRS572887	SRX489423	SRR1192464	172994	141196	100321	98745	6792530	6718157
13057	SRP022043	SRS417912	SRX273484	SRR837504	1	0	0	0	1	0
13058	SRP041751	SRS603759	SRX535140	SRR1274560	136237	122981	57619	57270	1090528	1070538
13059	SRP042161	SRS617778	SRX549879	SRR1295265	343	4	26	0	660	6
13060	ERP007109	ERS555279	ERX593981	ERR637525	85169	79840	27954	27799	576373	566755
13061	SRP025982	SRS441500	SRX302171	SRR896704	167151	143606	81813	81218	2204041	2162139
13062	SRP006769	SRS192989	SRX062350	SRR206972	6140	4071	56	39	7849	5282
13063	SRP007881	SRS258170	SRX092483	SRR332267	213236	93873	69563	57753	2871401	2519994
13064	SRP010181	SRS285232	SRX114867	SRR397392	11235	10797	327	309	20716	16451
13065	SRP025982	SRS443182	SRX303852	SRR898385	197779	164244	103040	102078	3260084	3198892
13066	ERP001942	ERS185421	ERX162716	ERR188316	232356	155656	120134	115039	12999727	12765517
13067	SRP008145	SRS260691	SRX096757	SRR342857	1	0	0	0	1	0
13068	SRP019207	SRS400332	SRX248168	SRR770718	106730	95583	44472	44103	1281984	1262408
13069	SRP018010	SRS386256	SRX353778	SRR650231	2491	928	294	173	6933	3509
13070	SRP000941	SRS308398	SRX190144	SRR577593	141326	113077	44822	43661	2192415	2117491
13071	ERP003613	ERS326960	ERX288506	ERR315490	177049	152162	96172	95427	2920435	2877912
13072	SRP007825	SRS257342	SRX091761	SRR330923	382	256	12	2	2146	1804
13073	SRP008976	SRS267261	SRX101441	SRR353656	2166	1879	47	37	3143	2606
13074	ERP006077	ERS480305	ERX497778	ERR532575	557638	227406	217604	183525	68661879	67447829
13075	SRP003754	SRS352030	SRX171122	SRR527687	3402	2432	760	531	72067	12372
13076	SRP025982	SRS442444	SRX303114	SRR897647	177692	153630	85758	85166	1942449	1903741
13077	SRP025982	SRS588810	SRX510293	SRR1216063	209820	167368	103126	101743	3853437	3772867
13078	SRP000941	SRS366514	SRX263858	SRR1054859	141195	120207	69581	68103	2590213	2517323
13079	SRP030617	SRS488205	SRX361028	SRR1003839	19016	17962	3368	3337	62490	60768
13080	SRP041736	SRS603540	SRX534823	SRR1274089	23093	19823	15962	15199	1136640	1101176
13081	DRP001194	DRS012329	DRX012573	DRR014036	2217	1548	191	164	4978	3865
13082	SRP009659	SRS281928	SRX110674	SRR388229	204928	145384	105573	102702	6095206	5981796
13083	SRP012461	SRS310736	SRX144105	SRR490372	43	35	1	1	71	60
13084	ERP001942	ERS185289	ERX162776	ERR188108	186339	141040	103660	101179	6806496	6686609
13085	SRP011924	SRS302543	SRX131430	SRR448104	66389	61344	11774	11674	333181	325098
13086	SRP032754	SRS499236	SRX373881	SRR1025674	163827	128307	90302	88722	4276944	4197481
13087	SRP042161	SRS617396	SRX549592	SRR1294978	510	1	35	0	960	1
13088	SRP021478	SRS415861	SRX271432	SRR833725	203592	140184	108566	97656	18069400	17760004
13089	SRP044668	SRS663147	SRX657988	SRR1521361	213280	167515	114209	111686	4727572	4623997
13090	SRP033135	SRS504157	SRX379699	SRR1033009	24343	22565	15826	15299	464961	455260
13091	SRP042161	SRS617579	SRX549672	SRR1295058	15	0	0	0	21	0
13092	SRP014759	SRS354082	SRX174803	SRR536348	405438	190228	185547	154294	59844592	58937965
13093	SRP025982	SRS443225	SRX303895	SRR898428	215992	172972	114724	113334	4363109	4281434
13094	SRP033119	SRS503530	SRX378965	SRR1032185	5155	1996	241	137	11694	6824
13095	SRP025982	SRS442027	SRX302697	SRR897230	192174	159602	98304	97410	3024190	2963914
13096	SRP040070	SRS572844	SRX489373	SRR1192419	179581	139835	98964	96937	5552780	5466709
13097	ERP001942	ERS185191	ERX179663	ERR204887	167004	129695	84851	83188	4896891	4778160
13098	SRP000941	SRS306613	SRX190110	SRR578628	216064	161278	117617	114161	10101214	9957626
13099	SRP032798	SRS500413	SRX375135	SRR1027604	139102	119617	53249	52756	1114997	1086466
13100	SRP035988	SRS544667	SRX451455	SRR1146231	197638	157135	103729	101638	6104592	5999371
13101	SRP012461	SRS310791	SRX144160	SRR490595	2086	1956	349	344	11900	11614
13102	SRP026597	SRS455359	SRX318426	SRR926657	124379	108185	56466	55896	1521534	1484855
13103	SRP014213	SRS349977	SRX159607	SRR521148	141	0	37	0	3316	0
13104	SRP000941	SRS366520	SRX263873	SRR1045616	121970	102181	40272	39474	1464627	1412863
13105	SRP031478	SRS491758	SRX365384	SRR1013355	206724	151427	115360	112257	8664885	8544745
13106	SRP029739	SRS478209	SRX347412	SRR974977	85846	76900	30194	29974	607372	592627
13107	SRP015789	SRS363943	SRX187585	SRR572624	4530	4331	105	104	6652	6427
13108	SRP022913	SRS426873	SRX283659	SRR863237	87673	81875	24455	24365	441148	433252
13109	SRP019250	SRS400678	SRX248565	SRR771556	317115	180614	160620	144862	26131633	25690854
13110	SRP032812	SRS500530	SRX375278	SRR1027735	229277	169379	119945	116981	7757938	7620104
13111	SRP010181	SRS285254	SRX114889	SRR397234	38057	36347	2360	2311	86405	80852
13112	SRP014020	SRS348421	SRX345048	SRR965799	1222	1163	30	26	1751	1623
13113	SRP003754	SRS351998	SRX171090	SRR527623	1256	151	180	70	20791	758
13114	SRP007525	SRS362052	SRX185897	SRR567057	70571	67072	17058	16996	300350	295295
13115	SRP042161	SRS617711	SRX549804	SRR1295190	316	5	12	1	476	15
13116	SRP030040	SRS483827	SRX355633	SRR998539	223842	158222	186993	147455	98684422	97814263
13117	SRP019810	SRS402945	SRX252542	SRR787310	56846	51634	15317	15153	336000	327398
13118	SRP032775	SRS499969	SRX374601	SRR1026897	331	321	2	2	439	428
13119	ERP003917	ERS349401	ERX315740	ERR342834	124500	111090	55718	55444	1246720	1227283
13120	SRP007525	SRS362052	SRX185897	SRR567052	70788	67163	16867	16807	300782	295641
13121	SRP003611	SRS115072	SRX027129	SRR066464	83823	77803	16901	16832	333903	326610
13122	SRP006574	SRS190514	SRX059449	SRR191454	0	0	0	0	0	0
13123	SRP031620	SRS492035	SRX365668	SRR1027580	162967	116345	79427	76631	3693586	3585417
13124	SRP018838	SRS397957	SRX245445	SRR764787	19472	17133	15866	15312	1555553	1517009
13125	SRP027383	SRS457796	SRX322718	SRR934833	214933	167582	117268	115172	5124380	5020369
13126	SRP040692	SRS583930	SRX503298	SRR1207811	150783	127782	70847	70256	1638691	1603705
13127	SRP029889	SRS479326	SRX348550	SRR976234	13	0	0	0	15	0
13128	SRP028301	SRS464893	SRX328752	SRR944333	50107	47175	12259	12212	252390	248544
13129	SRP009310	SRS270233	SRX105487	SRR364281	89	48	7	1	223	104
13130	SRP041130	SRS591459	SRX515679	SRR1233904	206433	151817	103471	101576	4245747	4155354
13131	SRP041736	SRS603369	SRX534653	SRR1275312	58	0	0	0	59	0
13132	ERP001942	ERS185061	ERX179577	ERR204912	147751	124478	81533	80600	2918871	2866667
13133	SRP038143	SRS559379	SRX472980	SRR1171978	216820	151468	117541	113066	9553856	9386369
13134	SRP001997	SRS010663	SRX016982	SRR036617	72258	67378	19280	19134	396288	387689
13135	ERP002021	ERS196427	ERX179719	ERR205034	147697	124408	82160	80210	5117270	5054051
13136	SRP012461	SRS310724	SRX144093	SRR490327	377	354	29	29	811	783
13137	SRP025982	SRS442946	SRX303616	SRR898149	204879	164118	106451	104867	3594451	3521941
13138	DRP001797	DRS016619	DRX021448	DRR023639	117349	105752	60131	59773	1472248	1452229
13139	SRP028902	SRS471413	SRX336427	SRR953772	233625	152692	117945	112519	10150247	9944650
13140	SRP021214	SRS415082	SRX269419	SRR831700	314160	154228	123171	111829	14072393	13647828
13141	SRP018861	SRS581899	SRX500812	SRR1204526	20242	19391	1299	1285	39734	38671
13142	SRP041736	SRS603517	SRX534800	SRR1274094	12	1	0	0	18	1
13143	SRP032775	SRS499976	SRX374608	SRR1026906	186553	129628	85754	83210	3136418	3030493
13144	SRP027358	SRS457459	SRX322293	SRR934311	173222	135412	86831	85349	2735812	2665145
13145	SRP019272	SRS401247	SRX249158	SRR772458	6	0	1	0	23	0
13146	SRP026315	SRS452559	SRX315108	SRR922116	1127	558	84	68	2677	1829
13147	SRP026600	SRS455412	SRX318463	SRR926693	276451	171099	130665	124900	9497307	9280204
13148	SRP007525	SRS362052	SRX185897	SRR567060	70152	66549	16522	16478	293567	288495
13149	SRP026126	SRS445959	SRX307101	SRR903216	94141	87441	24254	24155	436770	427975
13150	SRP006575	SRS190710	SRX059645	SRR191653	9382	6819	914	816	64957	60832
13151	SRP000996	SRS406763	SRX259089	SRR1067056	200150	158854	117619	115332	4992533	4833836
13152	SRP012461	SRS310746	SRX144115	SRR490413	3	3	0	0	4	4
13153	SRP035988	SRS544640	SRX451428	SRR1146203	178650	146288	97128	95159	5222155	5128753
13154	SRP038863	SRS561027	SRX475255	SRR1175205	233941	163238	131016	125169	28730545	28470788
13155	SRP011546	SRS310988	SRX144397	SRR491018	55284	46473	37763	35459	2382476	2325543
13156	SRP041736	SRS603441	SRX534724	SRR1275115	3	1	0	0	3	1
13157	SRP028963	SRS472006	SRX337558	SRR954996	130	16	5	0	222	16
13158	SRP042161	SRS616962	SRX549209	SRR1294595	67	1	3	0	107	1
13159	SRP003754	SRS301474	SRX130234	SRR446329	408	50	39	2	227041	65
13160	SRP007525	SRS362053	SRX185898	SRR567098	72216	68508	17291	17229	305169	299722
13161	SRP032775	SRS562505	SRX476790	SRR1177679	163491	114848	88788	81151	5609136	5436680
13162	SRP026126	SRS445942	SRX307083	SRR903073	55161	51411	10411	10310	176583	171152
13163	SRP025982	SRS442049	SRX302719	SRR897252	180235	153120	87830	87191	2342167	2294448
13164	SRP025982	SRS442491	SRX303161	SRR897694	191642	161891	97495	96731	2483201	2434423
13165	ERP001942	ERS185037	ERX179672	ERR204843	190263	141097	103761	100915	8240365	8100064
13166	SRP041736	SRS603372	SRX534655	SRR1275316	22	1	0	0	22	1
13167	ERP003815	ERS343982	ERX308217	ERR335311	80107	55065	69551	50862	14263810	13225990
13168	DRP000425	DRS000731	DRX000771	DRR001174	103404	95501	45981	45689	1156268	1142429
13169	SRP017411	SRS378235	SRX208356	SRR628460	15695	12155	4266	3971	333071	317741
13170	SRP009310	SRS270225	SRX105479	SRR364273	20	7	3	1	42	19
13171	SRP041736	SRS603403	SRX534686	SRR1275233	12848	10188	3768	3660	59191	55096
13172	SRP040472	SRS580330	SRX498629	SRR1201798	210606	144472	118654	112508	7649493	7462897
13173	SRP033566	SRS512265	SRX388378	SRR1044587	3	0	0	0	5	0
13174	SRP041736	SRS603250	SRX534533	SRR1274305	3	0	0	0	3	0
13175	ERP001942	ERS185329	ERX179692	ERR204846	205533	146112	107294	104198	7601585	7432028
13176	SRP033282	SRS506807	SRX382668	SRR1036965	125677	110063	61360	60906	1797961	1772602
