sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
48263	SRP035988	SRS544548	SRX451336	SRR1146111	187656	161148	95521	94840	4015671	3966108
48264	SRP063860	SRS1069953	SRX1247201	SRR2413333	159364	132931	87648	86514	4631255	4574049
48265	SRP050468	SRS777537	SRX794025	SRR1690992	69161	64684	13509	13396	253493	245676
48266	ERP007111	ERS680379	ERX1025965	ERR946980	199122	169166	110155	109515	4874636	4826089
48267	SRP056733	SRS889352	SRX974190	SRR1947620	107026	95562	46042	45611	2501323	2470216
48268	SRP002621	SRS139749	SRX032357	SRR074897	160421	137170	74008	73136	2970444	2925806
48269	SRP029987	SRS481280	SRX352294	SRR988463	191142	154744	100051	99418	4074449	4015036
48270	SRP057804	SRS925678	SRX1013972	SRR2002389	175490	142330	84765	83995	3303118	3252553
48271	SRP025982	SRS443024	SRX303694	SRR898227	219847	186236	116326	115751	3990034	3937962
48272	SRP043078	SRS633559	SRX587766	SRR1373434	150354	124335	78752	78138	2670341	2628986
48273	SRP059035	SRS951941	SRX1047510	SRR2049430	143225	118762	71975	70808	4090229	4037826
48274	ERP006577	ERS518722	ERX534691	ERR576279	0	0	0	0	0	0
48275	SRP051765	SRS810651	SRX832363	SRR1744422	154507	132091	65184	64682	2392941	2343545
48276	SRP050179	SRS1125564	SRX1362168	SRR2751110	153138	135809	80679	80288	3240141	3211041
48277	SRP011546	SRS310969	SRX144378	SRR490999	0	0	0	0	0	0
48278	SRP001371	SRS114974	SRX135562	SRR453393	0	0	0	0	0	0
48279	ERP003613	ERS326966	ERX288634	ERR315363	198674	170196	110314	109636	4872924	4826440
48280	SRP057098	SRS829092	SRX901031	SRR1777320	84085	74067	39035	37927	923330	897308
48281	ERP001942	ERS185108	ERX179556	ERR204862	159175	136797	85447	84902	3535800	3490785
48282	SRP033266	SRS506064	SRX381849	SRR1036025	185632	145362	95352	93815	4002681	3923537
48283	SRP034732	SRS519920	SRX399486	SRR1060783	115173	99045	40601	40211	1605625	1579488
48284	SRP025982	SRS443212	SRX303882	SRR898415	211250	181003	111868	111389	4046244	3995297
48285	ERP008967	ERS626252	ERX957580	ERR878017	181527	154999	98817	97896	3872245	3824796
48286	SRP050576	SRS779956	SRX796604	SRR1695965	133496	121351	68484	68166	2327029	2306985
48287	ERP003613	ERS326936	ERX288478	ERR315373	0	0	0	0	0	0
48288	SRP051848	SRS812846	SRX834856	SRR1747266	158842	134808	80206	79482	2847878	2804410
48289	SRP047233	SRS702353	SRX702579	SRR1576852	163260	142439	86956	86557	2643464	2611522
48290	SRP047233	SRS702364	SRX702590	SRR1576878	133308	121557	73088	72690	2031221	2007608
48291	SRP057205	SRS911013	SRX996745	SRR1975508	138175	123706	71943	71626	3105441	3081886
48292	DRP001358	DRS013532	DRX013786	DRR015319	0	0	0	0	0	0
48293	SRP025982	SRS588878	SRX510361	SRR1216131	341	325	0	0	387	371
48294	ERP005641	ERS444313	ERX548823	ERR590834	0	0	0	0	0	0
48295	SRP051644	SRS805598	SRX826018	SRR1737427	143371	119412	72980	72529	2627396	2583575
48296	SRP051848	SRS812937	SRX834947	SRR1747357	154760	132680	78137	77446	2814460	2773192
48297	SRP058222	SRS933537	SRX1023823	SRR2016808	185423	152520	99991	99310	5076450	5022917
48298	SRP055444	SRS853337	SRX886425	SRR1814050	155881	127632	73006	72146	2508933	2457648
48299	SRP025982	SRS443243	SRX303913	SRR898446	204438	177718	108628	108162	3325023	3283010
48300	SRP044653	SRS662850	SRX657660	SRR1520956	164835	143096	87733	87392	2879432	2848378
48301	SRP050193	SRS751146	SRX767011	SRR1661339	139544	125029	73493	73173	2700162	2674103
48302	SRP025982	SRS588784	SRX510267	SRR1216037	194593	166440	95477	94873	3224701	3180665
48303	SRP057500	SRS915612	SRX1001563	SRR1982657	74304	56165	23831	21934	2026273	1959682
48304	SRP056733	SRS889421	SRX974121	SRR1947551	117973	104475	49884	49378	2061054	2033232
48305	SRP045500	SRS684292	SRX680613	SRR1551053	146738	127645	74907	74281	2285138	2246593
48306	SRP040136	SRS573832	SRX490462	SRR1193574	130233	115908	60425	60085	2399542	2376445
48307	SRP057196	SRS910462	SRX996040	SRR1974722	16389	11540	8551	7914	924876	886434
48308	SRP033305	SRS507138	SRX383032	SRR1037486	95317	86576	38798	38490	3265739	3227236
48309	SRP040547	SRS582810	SRX501759	SRR1205941	891	715	23	3	1540	779
48310	SRP057065	SRS1145617	SRX1410950	SRR2936882	112457	95334	35814	35480	626669	601598
48311	SRP040442	SRS579588	SRX497620	SRR1200860	144516	121595	49665	49308	1604883	1571426
48312	SRP059035	SRS951969	SRX1047482	SRR2049402	39549	35270	29644	28613	2265756	2235287
48313	SRP042286	SRS620752	SRX553458	SRR1299445	109686	89778	27885	27372	486125	455073
48314	SRP048759	SRS718922	SRX729597	SRR1608683	181368	140368	85813	84059	2822761	2744648
48315	SRP026126	SRS445976	SRX307117	SRR903331	165874	146837	71308	71020	1328184	1303325
48316	SRP053246	SRS838007	SRX867114	SRR1791340	22417	18845	10579	9412	171111	154650
48317	SRP045048	SRS669810	SRX664957	SRR1531139	131336	118488	62095	61791	1855913	1833541
48318	SRP036848	SRS554987	SRX467322	SRR1164882	36637	34288	11312	10915	160850	154104
48319	SRP042286	SRS620751	SRX553459	SRR1299450	114605	93775	32598	32155	584035	553406
48320	ERP013303	ERS983388	ERX1224748	ERR1145946	169488	145383	92719	92089	3450739	3409927
48321	SRP040442	SRS579591	SRX497622	SRR1200864	121371	103639	36707	36440	1225668	1199613
48322	SRP011927	SRS344377	SRX151726	SRR504649	0	0	0	0	0	0
48323	SRP041751	SRS603777	SRX535158	SRR1274578	174928	151015	92253	91797	3251879	3213934
48324	ERP008608	ERS577651	ERX623693	ERR668404	0	0	0	0	0	0
48325	SRP009408	SRS280704	SRX107262	SRR372651	710	536	19	6	2092	665
48326	SRP014428	SRS350469	SRX160234	SRR522095	56566	52694	39729	38425	1767027	1747677
48327	ERP000710	ERS035814	ERX013520	ERR035536	128525	113334	52058	51864	1127838	1107985
48328	SRP057586	SRS918620	SRX1005127	SRR1987670	109586	99495	45945	45400	1031653	1007091
48329	SRP025982	SRS442477	SRX303147	SRR897680	188891	167546	94793	94512	2348332	2317119
48330	SRP061033	SRS989940	SRX1094523	SRR2099833	51171	45440	3017	2961	95906	88932
48331	DRP001358	DRS013461	DRX013715	DRR015248	22870	19613	17301	16445	1336385	1308210
48332	SRP051401	SRS799409	SRX819525	SRR1727548	99039	91375	33077	32944	715149	703378
48333	SRP025982	SRS442486	SRX303156	SRR897689	186800	166299	92576	92311	2239168	2209317
48334	SRP014428	SRS350507	SRX160272	SRR522133	33352	30311	22851	22039	1098401	1078430
48335	SRP063840	SRS1072363	SRX1253686	SRR2431361	32915	26854	21911	19959	1424942	1368936
48336	SRP051674	SRS806762	SRX827481	SRR1739128	155528	138780	89091	88784	3690169	3661997
48337	SRP025982	SRS442503	SRX303172	SRR897705	189075	167429	92428	92144	2271989	2241383
48338	SRP014675	SRS352976	SRX173099	SRR531698	21	0	2	0	49	0
48339	SRP025982	SRS442049	SRX302719	SRR897252	180562	160296	87856	87594	2343837	2310814
48340	SRP047271	SRS705866	SRX706425	SRR1581005	128534	116978	65202	64951	2062540	2043743
48341	SRP031858	SRS493234	SRX367111	SRR1015699	148910	133422	71717	71411	1983311	1959459
48342	SRP059732	SRS967567	SRX1067692	SRR2072590	96988	83844	30529	30301	1160504	1136783
48343	SRP014428	SRS350500	SRX160265	SRR522126	53180	50328	38904	37888	1738428	1722246
48344	SRP034601	SRS516776	SRX395843	SRR1054673	139723	125277	63277	63012	1790584	1769127
48345	SRP052991	SRS832521	SRX860938	SRR1781816	63361	58612	13808	13723	573565	566494
48346	SRP018552	SRS393169	SRX233700	SRR702406	106824	98473	47955	47730	1047634	1032368
48347	SRP028963	SRS471997	SRX337549	SRR954987	178	16	4	0	461	17
48348	SRP040547	SRS582856	SRX501808	SRR1205988	47993	46294	32364	31699	1029709	1016572
48349	SRP025982	SRS441653	SRX302323	SRR896856	179583	161188	88485	88241	2266485	2237503
48350	ERP008445	ERS568758	ERX611612	ERR655283	71440	66896	15699	15609	343250	335721
48351	SRP029953	SRS486987	SRX359331	SRR1005683	4032	2291	434	315	19247	7782
48352	SRP035864	SRS543675	SRX450266	SRR1145043	68687	64630	47606	46091	1500869	1476468
48353	SRP049714	SRS742893	SRX757748	SRR1648619	149025	134908	77653	77421	2605126	2582013
48354	SRP022871	SRS424039	SRX281505	SRR867130	130885	119411	62092	61912	1479529	1463471
48355	SRP036848	SRS554919	SRX467254	SRR1164814	42249	39536	4353	4290	100991	96782
48356	SRP025982	SRS441601	SRX302271	SRR896804	162909	147512	74464	74241	1706811	1684613
48357	SRP025982	SRS441491	SRX302162	SRR896695	164320	147845	78901	78686	2050426	2023732
48358	SRP025982	SRS442473	SRX303143	SRR897676	168107	153302	77470	77284	1619392	1597569
48359	SRP059035	SRS951818	SRX1047425	SRR2049345	44326	40011	30503	29367	1232261	1208921
48360	SRP041736	SRS603199	SRX534482	SRR1274202	30374	25934	19822	18906	795722	775150
48361	SRP033131	SRS504026	SRX379568	SRR1032876	16227	14593	686	663	28187	25992
48362	SRP032942	SRS501648	SRX376714	SRR1028759	139959	127731	76230	76004	2699795	2679035
48363	SRP067214	SRS1199458	SRX1473532	SRR2984649	34338	32323	31947	30382	1177758	1150184
48364	SRP034712	SRS519053	SRX398601	SRR1058052	191	19	30	7	2913	647
48365	SRP044296	SRS659667	SRX651960	SRR1514316	52758	48938	17369	17189	547189	539850
48366	ERP003917	ERS349327	ERX315666	ERR342865	159167	136585	72183	71887	1613463	1583423
48367	SRP050000	SRS747506	SRX762997	SRR1656531	58147	51064	17890	17540	1135257	1119225
48368	SRP042228	SRS833186	SRX861914	SRR1782872	112281	104480	36160	35952	921346	905078
48369	SRP050374	SRS774826	SRX790912	SRR1686004	95458	90906	33854	33711	908310	899937
48370	SRP034543	SRS516065	SRX393119	SRR1051299	31425	27600	19640	19216	926011	914435
48371	SRP025982	SRS441748	SRX302418	SRR896951	163569	150244	72429	72263	1488987	1469713
48372	SRP026597	SRS455364	SRX318431	SRR926662	130260	117001	58127	57823	1471655	1447945
48373	SRP041736	SRS603352	SRX534635	SRR1275275	21282	17421	13441	12889	408320	394028
48374	SRP039359	SRS565587	SRX480741	SRR1182358	14356	13420	579	558	25256	23827
48375	SRP001893	SRS010365	SRX016561	SRR035580	118786	110778	51264	51114	1356748	1345210
48376	SRP044956	SRS668350	SRX663494	SRR1528914	4282	2979	582	541	32195	30109
48377	SRP027358	SRS457458	SRX322292	SRR934303	142391	123621	59025	58588	1313238	1283403
48378	SRP045501	SRS684373	SRX680695	SRR1551156	74846	69345	18263	18174	332620	324894
48379	SRP051368	SRS798300	SRX818243	SRR1725930	100699	93722	39112	38907	1048034	1035795
48380	SRP050499	SRS931535	SRX1021291	SRR2013486	30716	29154	23142	22633	1269699	1250295
48381	SRP020491	SRS407080	SRX259443	SRR805733	121450	109678	49533	49201	1101043	1075442
48382	SRP050249	SRS752092	SRX767500	SRR1662314	122222	113570	52960	52822	1063184	1051455
48383	SRP006575	SRS355568	SRX176092	SRR537104	5480	3988	826	780	75402	72904
48384	SRP042228	SRS833156	SRX861875	SRR1782833	1999	156	149	11	6838	447
48385	SRP050499	SRS931278	SRX1021547	SRR2013742	10863	9794	8634	8321	861906	845911
48386	SRP056041	SRS870833	SRX950732	SRR1909088	124448	114792	57558	57416	1241293	1228308
48387	SRP030475	SRS487919	SRX360458	SRR1002999	85041	80739	41949	41665	1266402	1254550
48388	SRP048801	SRS719460	SRX730240	SRR1609587	98354	92980	28217	27966	775746	761980
48389	SRP031698	SRS492362	SRX366071	SRR1013983	16	1	3	0	57	1
48390	SRP050499	SRS931300	SRX1021526	SRR2013721	10515	9450	6941	6800	839359	829231
48391	SRP048801	SRS719313	SRX730093	SRR1609440	122853	114896	39484	39322	795400	782043
48392	SRP041471	SRS598097	SRX528192	SRR1264109	55272	52229	5751	5729	132991	129320
48393	SRP014830	SRS355993	SRX176383	SRR542350	15579	14732	2491	2459	57239	55387
48394	SRP012295	SRS309668	SRX143103	SRR488566	84784	81433	26627	26530	612472	606577
48395	DRP001797	DRS014278	DRX021432	DRR023458	129919	119989	64980	64735	1762306	1745554
48396	SRP051472	SRS801168	SRX821422	SRR1732041	79640	75943	22498	22447	373161	367824
48397	DRP001797	DRS014278	DRX021432	DRR023457	129730	119774	64738	64500	1752015	1735280
48398	SRP051472	SRS801166	SRX821420	SRR1732039	79696	76102	22715	22656	374420	369090
48399	ERP003917	ERS349363	ERX315702	ERR342884	123336	115089	53760	53653	1183053	1170740
48400	SRP033135	SRS504286	SRX379829	SRR1033139	15575	14145	10645	10310	552331	541439
48401	SRP026052	SRS445360	SRX306346	SRR901495	3027	1665	542	385	10053	5305
48402	SRP027345	SRS457250	SRX322087	SRR933994	1	0	0	0	1	0
48403	SRP020237	SRS212583	SRX079568	SRR292243	0	0	0	0	0	0
48404	SRP045869	SRS691770	SRX689276	SRR1560921	1683	1182	440	379	82344	80451
48405	SRP066834	SRS1184126	SRX1457031	SRR2967585	10829	9638	7337	7026	331419	320306
48406	SRP002128	SRS025354	SRX017929	SRR038295	41700	39552	6921	6855	146086	142737
48407	SRP026126	SRS445959	SRX307101	SRR903215	92705	88162	23341	23297	418896	413213
48408	SRP003902	SRS118248	SRX029307	SRR070242	60	2	3	0	118	2
48409	SRP006575	SRS355567	SRX176091	SRR537103	0	0	0	0	0	0
48410	SRP067214	SRS1199465	SRX1473525	SRR2984642	80991	75215	41477	40855	1082811	1067009
48411	SRP063840	SRS1072317	SRX1253733	SRR2431408	34312	31632	19940	19353	516529	506399
48412	SRP042161	SRS617647	SRX549740	SRR1295126	17905	13874	9600	9182	142296	133541
48413	SRP048801	SRS719516	SRX730296	SRR1609643	101412	95972	26235	26076	604791	595567
48414	SRP002105	SRS024848	SRX017603	SRR037701	15796	14553	484	461	25610	23842
48415	SRP004637	SRS139428	SRX031941	SRR073757	0	0	0	0	0	0
48416	SRP025982	SRS442515	SRX303185	SRR897718	138859	130275	48725	48644	866492	854703
48417	SRP066834	SRS1184633	SRX1456759	SRR2967313	31028	28660	19497	18828	424029	413050
48418	SRP026126	SRS445970	SRX307111	SRR903295	107799	102842	26963	26914	483133	476886
48419	SRP050499	SRS931544	SRX1021282	SRR2013477	26690	24820	19668	18980	612952	599148
48420	DRP002435	DRS016933	DRX019714	DRR028385	15415	13814	12236	11932	535401	526446
48421	SRP066834	SRS1184841	SRX1456547	SRR2967101	27343	25255	15908	15438	275519	268197
48422	SRP033135	SRS504106	SRX379648	SRR1032958	35702	33646	24534	23890	843007	831000
48423	SRP036821	SRS553982	SRX466219	SRR1163282	2886	1459	271	250	13130	11267
48424	SRP066834	SRS1184698	SRX1456694	SRR2967248	20704	19045	13647	13224	334744	326322
48425	SRP066834	SRS1184830	SRX1456561	SRR2967115	19761	18465	13095	12708	328863	320901
48426	SRP047476	SRS708878	SRX709860	SRR1585517	6492	6167	3001	2917	53706	51550
48427	SRP007946	SRS258839	SRX093221	SRR333683	17	0	2	0	58	0
