SRP052201	1	9	0.111111
SRP052740	1	169	0.00591716
SRP052998	1	20	0.05
SRP053052	1	2	0.5
SRP053101	1	88	0.0113636
SRP055390	1	52	0.0192308
SRP055514	1	76	0.0131579
SRP056477	1	53	0.0188679
SRP056802	1	24	0.0416667
SRP057118	1	6	0.166667
SRP057244	1	42	0.0238095
SRP057721	1	16	0.0625
SRP057758	1	192	0.00520833
SRP057852	1	32	0.03125
SRP059035	1	201	0.00497512
SRP059057	1	74	0.0135135
SRP059431	1	75	0.0133333
SRP059531	1	14	0.0714286
SRP059732	1	20	0.05
SRP060284	1	6	0.166667
SRP060370	1	12	0.0833333
SRP060598	1	6	0.166667
SRP061329	1	6	0.166667
SRP061380	1	12	0.0833333
SRP061566	1	6	0.166667
SRP061639	1	28	0.0357143
SRP062023	1	1	1
SRP062617	1	6	0.166667
SRP063493	1	66	0.0151515
SRP063496	1	73	0.0136986
SRP063500	1	27	0.037037
SRP063669	1	7	0.142857
SRP064259	1	82	0.0121951
SRP064264	1	32	0.03125
SRP064316	1	6	0.166667
SRP064378	1	23	0.0434783
SRP064561	1	41	0.0243902
SRP064894	1	30	0.0333333
SRP066917	1	11	0.0909091
SRP066956	1	22	0.0454545
