SRP058740	SRS945672	SRX1038912	SRR2040582	458
ERP006077	ERS480295	ERX497816	ERR532613	426
ERP006077	ERS480295	ERX497815	ERR532612	417
ERP006077	ERS480295	ERX497814	ERR532611	416
ERP006077	ERS480310	ERX497792	ERR532589	405
ERP006077	ERS480304	ERX497775	ERR532572	404
ERP006077	ERS480305	ERX497778	ERR532575	403
ERP006077	ERS480304	ERX497777	ERR532574	401
ERP010791	ERS759406	ERX1002458	ERR922711	401
ERP006077	ERS480315	ERX497637	ERR532434	397
ERP006077	ERS480293	ERX497808	ERR532605	396
ERP006077	ERS480293	ERX497809	ERR532606	394
SRP058740	SRS945673	SRX1038911	SRR2040581	393
ERP006077	ERS480303	ERX497774	ERR532571	393
ERP006077	ERS480303	ERX497772	ERR532569	393
ERP006077	ERS480297	ERX497754	ERR532551	392
ERP006077	ERS480315	ERX497638	ERR532435	390
ERP006077	ERS480303	ERX497773	ERR532570	389
ERP006077	ERS480293	ERX497810	ERR532607	389
DRP002380	DRS016654	DRX019521	DRR021368	388
ERP006077	ERS480310	ERX497793	ERR532590	388
ERP006077	ERS480308	ERX497789	ERR532586	387
ERP006077	ERS480304	ERX497776	ERR532573	387
ERP006077	ERS480300	ERX497764	ERR532561	386
ERP006077	ERS480315	ERX497636	ERR532433	386
ERP006077	ERS480300	ERX497765	ERR532562	385
ERP006077	ERS480308	ERX497788	ERR532585	383
ERP006077	ERS480313	ERX497646	ERR532443	382
ERP006077	ERS480313	ERX497645	ERR532442	381
ERP006077	ERS480292	ERX497807	ERR532604	380
ERP006077	ERS480313	ERX497647	ERR532444	380
ERP006077	ERS480299	ERX497761	ERR532558	380
ERP006077	ERS480297	ERX497756	ERR532553	379
ERP006077	ERS480287	ERX497750	ERR532547	379
SRP050493	SRS778041	SRX794534	SRR1691651	379
ERP010791	ERS759405	ERX1002457	ERR922710	379
ERP006077	ERS480314	ERX497648	ERR532445	378
ERP006077	ERS480292	ERX497806	ERR532603	378
ERP006077	ERS480288	ERX497781	ERR532578	377
ERP006077	ERS480288	ERX497779	ERR532576	377
ERP006077	ERS480308	ERX497787	ERR532584	376
SRP050493	SRS778040	SRX794533	SRR1691650	375
ERP006077	ERS480291	ERX497803	ERR532600	374
ERP006077	ERS480288	ERX497780	ERR532577	373
ERP006077	ERS480287	ERX497751	ERR532548	372
ERP006077	ERS480300	ERX497763	ERR532560	371
ERP006077	ERS480314	ERX497649	ERR532446	371
ERP006077	ERS480297	ERX497755	ERR532552	371
SRP013021	SRS332922	SRX147678	SRR496586	371
ERP010791	ERS759407	ERX1002459	ERR922712	371
ERP003613	ERS327023	ERX288638	ERR315492	370
ERP006077	ERS480299	ERX497762	ERR532559	370
