min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1529	94135	0	0	0	0	0	0
1528	94275	0	0	0	0	0	0
1527	94394	0	0	0	0	0	0
1526	94522	0	0	0	0	0	0
1525	94673	0	0	0	0	0	0
1524	94821	0	0	0	0	0	0
1523	94978	0	0	0	0	0	0
1522	95113	0	0	0	0	0	0
1521	95242	0	0	0	0	0	0
1520	95381	0	0	0	0	0	0
1519	95524	0	0	0	0	0	0
1518	95677	0	0	0	0	0	0
1517	95817	0	0	0	0	0	0
1516	95961	0	0	0	0	0	0
1515	96094	0	0	0	0	0	0
1514	96228	0	0	0	0	0	0
1513	96372	0	0	0	0	0	0
1512	96506	0	0	0	0	0	0
1511	96632	0	0	0	0	0	0
1510	96771	0	0	0	0	0	0
1509	96874	0	0	0	0	0	0
1508	97002	0	0	0	0	0	0
1507	97119	0	0	0	0	0	0
1506	97277	0	0	0	0	0	0
1505	97401	0	0	0	0	0	0
1504	97517	0	0	0	0	0	0
1503	97659	0	0	0	0	0	0
1502	97796	0	0	0	0	0	0
1501	97942	0	0	0	0	0	0
1500	98074	0	0	0	0	0	0
1499	98210	0	0	0	0	0	0
1498	98353	0	0	0	0	0	0
1497	98480	0	0	0	0	0	0
1496	98605	0	0	0	0	0	0
1495	98742	0	0	0	0	0	0
1494	98874	0	0	0	0	0	0
1493	99008	0	0	0	0	0	0
1492	99146	0	0	0	0	0	0
1491	99291	0	0	0	0	0	0
1490	99406	0	0	0	0	0	0
1489	99530	0	0	0	0	0	0
1488	99653	0	0	0	0	0	0
1487	99792	0	0	0	0	0	0
1486	99925	0	0	0	0	0	0
1485	100043	0	0	0	0	0	0
1484	100170	0	0	0	0	0	0
1483	100306	0	0	0	0	0	0
1482	100428	0	0	0	0	0	0
1481	100557	0	0	0	0	0	0
1480	100667	0	0	0	0	0	0
1479	100775	0	0	0	0	0	0
1478	100911	0	0	0	0	0	0
1477	101037	0	0	0	0	0	0
1476	101160	0	0	0	0	0	0
1475	101296	0	0	0	0	0	0
1474	101416	0	0	0	0	0	0
1473	101538	0	0	0	0	0	0
1472	101660	0	0	0	0	0	0
1471	101779	0	0	0	0	0	0
1470	101892	0	0	0	0	0	0
1469	102001	0	0	0	0	0	0
1468	102104	0	0	0	0	0	0
1467	102238	0	0	0	0	0	0
1466	102354	0	0	0	0	0	0
1465	102461	0	0	0	0	0	0
1464	102593	0	0	0	0	0	0
1463	102721	0	0	0	0	0	0
1462	102839	0	0	0	0	0	0
1461	102959	0	0	0	0	0	0
1460	103088	0	0	0	0	0	0
1459	103197	0	0	0	0	0	0
1458	103323	0	0	0	0	0	0
1457	103454	0	0	0	0	0	0
1456	103585	0	0	0	0	0	0
1455	103702	0	0	0	0	0	0
1454	103823	0	0	0	0	0	0
1453	103974	0	0	0	0	0	0
1452	104095	0	0	0	0	0	0
1451	104209	0	0	0	0	0	0
1450	104350	0	0	0	0	0	0
1449	104472	0	0	0	0	0	0
1448	104593	0	0	0	0	0	0
1447	104717	0	0	0	0	0	0
1446	104825	0	0	0	0	0	0
1445	104928	0	0	0	0	0	0
1444	105034	0	0	0	0	0	0
1443	105132	0	0	0	0	0	0
1442	105246	0	0	0	0	0	0
1441	105381	0	0	0	0	0	0
1440	105498	0	0	0	0	0	0
1439	105606	0	0	0	0	0	0
1438	105711	0	0	0	0	0	0
1437	105826	0	0	0	0	0	0
1436	105947	0	0	0	0	0	0
1435	106067	0	0	0	0	0	0
1434	106195	0	0	0	0	0	0
1433	106319	0	0	0	0	0	0
1432	106436	0	0	0	0	0	0
1431	106548	0	0	0	0	0	0
1430	106658	0	0	0	0	0	0
1429	106772	0	0	0	0	0	0
1428	106897	0	0	0	0	0	0
1427	107014	0	0	0	0	0	0
1426	107124	0	0	0	0	0	0
1425	107253	0	0	0	0	0	0
1424	107352	0	0	0	0	0	0
1423	107472	0	0	0	0	0	0
1422	107579	0	0	0	0	0	0
1421	107689	0	0	0	0	0	0
1420	107808	0	0	0	0	0	0
1419	107912	0	0	0	0	0	0
1418	108012	0	0	0	0	0	0
1417	108114	0	0	0	0	0	0
1416	108224	0	0	0	0	0	0
1415	108346	0	0	0	0	0	0
1414	108452	0	0	0	0	0	0
1413	108567	0	0	0	0	0	0
1412	108693	0	0	0	0	0	0
1411	108815	0	0	0	0	0	0
1410	108918	0	0	0	0	0	0
1409	109045	0	0	0	0	0	0
1408	109155	0	0	0	0	0	0
1407	109250	0	0	0	0	0	0
1406	109383	0	0	0	0	0	0
1405	109483	0	0	0	0	0	0
1404	109599	0	0	0	0	0	0
1403	109698	0	0	0	0	0	0
1402	109819	0	0	0	0	0	0
1401	109902	0	0	0	0	0	0
1400	110021	0	0	0	0	0	0
1399	110130	0	0	0	0	0	0
1398	110230	0	0	0	0	0	0
1397	110328	0	0	0	0	0	0
1396	110438	0	0	0	0	0	0
1395	110554	0	0	0	0	0	0
1394	110661	0	0	0	0	0	0
1393	110771	0	0	0	0	0	0
1392	110883	0	0	0	0	0	0
1391	110992	0	0	0	0	0	0
1390	111095	0	0	0	0	0	0
1389	111216	0	0	0	0	0	0
1388	111332	0	0	0	0	0	0
1387	111443	0	0	0	0	0	0
1386	111548	0	0	0	0	0	0
1385	111653	0	0	0	0	0	0
1384	111763	0	0	0	0	0	0
1383	111856	0	0	0	0	0	0
1382	111979	0	0	0	0	0	0
1381	112096	0	0	0	0	0	0
1380	112196	0	0	0	0	0	0
1379	112303	0	0	0	0	0	0
1378	112402	0	0	0	0	0	0
1377	112493	0	0	0	0	0	0
1376	112590	0	0	0	0	0	0
1375	112676	0	0	0	0	0	0
1374	112790	0	0	0	0	0	0
1373	112888	0	0	0	0	0	0
1372	113018	0	0	0	0	0	0
1371	113121	0	0	0	0	0	0
1370	113225	0	0	0	0	0	0
1369	113331	0	0	0	0	0	0
1368	113428	0	0	0	0	0	0
1367	113537	0	0	0	0	0	0
1366	113648	0	0	0	0	0	0
1365	113739	0	0	0	0	0	0
1364	113851	0	0	0	0	0	0
1363	113956	0	0	0	0	0	0
