min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
1724	5370	5360	0	5	5	5305	5300	56	55	9	5
1723	5591	5581	0	5	5	5523	5518	59	58	9	5
1722	5839	5829	0	5	5	5771	5766	59	58	9	5
1721	6108	6098	0	5	5	6036	6031	63	62	9	5
1720	6386	6376	0	5	5	6312	6307	64	63	10	6
1719	6662	6651	0	6	5	6585	6580	67	65	10	6
1718	6929	6918	0	6	5	6851	6846	68	66	10	6
1717	7233	7222	0	6	5	7149	7144	74	72	10	6
1716	7526	7514	0	6	6	7439	7434	76	73	11	7
1715	7817	7805	0	6	6	7730	7725	76	73	11	7
1714	8140	8127	0	6	7	8051	8046	77	74	12	7
1713	8457	8444	0	6	7	8365	8360	80	77	12	7
1712	8795	8782	0	6	7	8699	8694	83	80	13	8
1711	9156	9142	0	6	8	9056	9051	85	82	15	9
1710	9555	9541	0	6	8	9451	9446	89	86	15	9
1709	9944	9930	0	6	8	9836	9831	93	90	15	9
1708	10306	10291	0	6	9	10189	10184	99	96	18	11
1707	10689	10674	0	6	9	10566	10561	103	100	20	13
1706	11092	11077	0	6	9	10964	10959	108	105	20	13
1705	11508	11492	0	6	10	11372	11367	115	112	21	13
1704	11959	11941	0	6	12	11818	11813	118	115	23	13
1703	12358	12339	0	6	13	12213	12208	120	117	25	14
1702	12783	12763	0	6	14	12634	12629	123	120	26	14
1701	13248	13227	0	6	15	13094	13089	127	124	27	14
1700	13684	13663	0	6	15	13528	13523	129	126	27	14
1699	14119	14098	0	6	15	13960	13955	131	128	28	15
1698	14604	14583	0	6	15	14436	14431	140	137	28	15
1697	15065	15043	0	6	16	14892	14887	142	139	31	17
1696	15519	15497	0	6	16	15343	15338	145	142	31	17
1695	15999	15977	0	6	16	15818	15813	150	147	31	17
1694	16538	16514	0	6	18	16350	16345	154	151	34	18
1693	17055	17030	0	6	19	16859	16854	160	157	36	19
1692	17537	17511	0	6	20	17338	17333	161	158	38	20
1691	18086	18059	0	6	21	17882	17877	164	161	40	21
1690	18638	18611	0	6	21	18426	18421	171	168	41	22
1689	19212	19185	0	6	21	18994	18989	177	174	41	22
1688	19723	19695	0	6	22	19503	19498	178	175	42	22
1687	20255	20227	0	6	22	20032	20027	181	178	42	22
1686	20834	20806	0	6	22	20606	20601	185	182	43	23
1685	21447	21418	0	6	23	21217	21212	186	183	44	23
1684	22018	21988	0	6	24	21783	21778	190	187	45	23
1683	22626	22595	0	6	25	22387	22382	192	189	47	24
1682	23192	23159	0	6	27	22948	22943	196	192	48	24
1681	23766	23733	0	6	27	23516	23511	201	197	49	25
1680	24386	24353	0	6	27	24132	24127	205	201	49	25
1679	24985	24951	0	6	28	24727	24722	207	203	51	26
1678	25597	25563	0	6	28	25337	25332	208	204	52	27
1677	26152	26117	0	6	29	25888	25883	211	206	53	28
1676	26735	26699	0	6	30	26468	26463	212	207	55	29
1675	27292	27256	0	6	30	27021	27016	216	211	55	29
1674	27883	27847	0	6	30	27610	27605	216	211	57	31
1673	28500	28463	0	6	31	28223	28217	220	215	57	31
1672	29094	29057	0	6	31	28813	28807	224	219	57	31
1671	29680	29643	0	6	31	29393	29387	230	225	57	31
1670	30300	30263	0	6	31	30007	30001	236	231	57	31
1669	30984	30946	0	6	32	30682	30676	243	238	59	32
1668	31587	31548	0	6	33	31278	31272	247	242	62	34
1667	32236	32197	0	6	33	31921	31915	253	248	62	34
1666	32838	32799	0	6	33	32519	32513	257	252	62	34
1665	33454	33415	0	6	33	33133	33127	259	254	62	34
1664	34068	34029	0	6	33	33742	33736	264	259	62	34
1663	34644	34605	0	6	33	34313	34307	268	263	63	35
1662	35300	35259	0	7	34	34960	34953	276	271	64	35
1661	35955	35914	0	7	34	35606	35599	281	276	68	39
1660	36577	36535	0	8	34	36219	36211	287	282	71	42
1659	37212	37167	0	8	37	36843	36835	295	289	74	43
1658	37779	37733	0	8	38	37407	37399	297	291	75	43
1657	38427	38379	0	8	40	38046	38038	305	298	76	43
1656	39036	38985	0	9	42	38650	38641	308	300	78	44
1655	39645	39593	0	9	43	39254	39245	313	304	78	44
1654	40273	40220	0	9	44	39871	39862	322	313	80	45
1653	40905	40852	0	9	44	40502	40493	323	314	80	45
1652	41443	41389	0	9	45	41029	41019	331	322	83	48
1651	42082	42027	0	9	46	41661	41651	337	328	84	48
1650	42668	42612	0	9	47	42239	42229	345	335	84	48
1649	43263	43206	0	9	48	42827	42817	350	340	86	49
1648	43814	43756	0	10	48	43372	43361	356	346	86	49
1647	44362	44304	0	10	48	43916	43905	360	350	86	49
1646	44969	44910	0	10	49	44516	44505	366	356	87	49
1645	45522	45462	0	11	49	45066	45055	368	357	88	50
1644	46175	46115	0	11	49	45714	45703	373	362	88	50
1643	46797	46737	0	11	49	46327	46316	381	370	89	51
1642	47356	47296	0	11	49	46878	46867	388	377	90	52
1641	47924	47864	0	11	49	47444	47433	390	379	90	52
1640	48465	48405	0	11	49	47983	47972	392	381	90	52
1639	49059	48996	0	12	51	48569	48557	397	385	93	54
1638	49627	49564	0	12	51	49131	49119	401	389	95	56
1637	50147	50082	0	12	53	49643	49631	408	395	96	56
1636	50660	50594	0	13	53	50152	50139	412	399	96	56
1635	51251	51185	0	13	53	50742	50729	413	400	96	56
1634	51788	51721	0	13	54	51271	51258	418	405	99	58
1633	52347	52280	0	13	54	51829	51816	418	405	100	59
1632	52833	52766	0	13	54	52311	52298	422	409	100	59
1631	53378	53311	0	13	54	52851	52838	427	414	100	59
1630	53910	53843	0	13	54	53379	53366	430	417	101	60
1629	54454	54387	0	13	54	53921	53908	431	418	102	61
1628	54942	54875	0	13	54	54402	54389	437	424	103	62
1627	55457	55390	0	13	54	54911	54898	443	430	103	62
1626	55985	55917	0	14	54	55434	55420	447	434	104	63
1625	56480	56412	0	14	54	55926	55912	449	436	105	64
1624	57027	56959	0	14	54	56469	56455	451	438	107	66
1623	57516	57447	0	15	54	56953	56938	456	443	107	66
1622	58054	57983	0	15	56	57485	57470	461	447	108	66
1621	58512	58441	0	15	56	57940	57925	464	450	108	66
1620	58996	58925	0	15	56	58418	58403	470	456	108	66
1619	59471	59399	0	15	57	58887	58872	474	460	110	67
1618	59902	59829	0	15	58	59315	59300	477	462	110	67
1617	60367	60294	0	15	58	59775	59760	482	467	110	67
1616	60823	60750	0	15	58	60227	60212	486	471	110	67
1615	61312	61238	0	16	58	60709	60694	493	477	110	67
1614	61774	61700	0	16	58	61168	61153	496	480	110	67
1613	62239	62165	0	16	58	61631	61616	498	482	110	67
1612	62726	62652	0	16	58	62111	62096	505	489	110	67
1611	63194	63117	0	16	61	62570	62555	511	495	113	67
1610	63641	63564	0	16	61	63009	62994	517	501	115	69
1609	64069	63992	0	16	61	63436	63421	518	502	115	69
1608	64509	64432	0	16	61	63871	63856	523	507	115	69
1607	64939	64861	0	16	62	64297	64282	526	510	116	69
1606	65420	65341	0	16	63	64774	64759	529	513	117	69
1605	65846	65767	0	16	63	65196	65181	532	516	118	70
1604	66274	66193	0	17	64	65623	65607	533	516	118	70
1603	66697	66615	0	17	65	66044	66028	534	517	119	70
1602	67090	67008	0	17	65	66434	66418	537	520	119	70
1601	67467	67384	0	18	65	66805	66788	543	526	119	70
1600	67828	67745	0	18	65	67160	67143	547	530	121	72
1599	68220	68134	0	20	66	67544	67525	553	536	123	73
1598	68593	68505	0	21	67	67912	67891	556	539	125	75
1597	68962	68873	0	21	68	68276	68255	559	542	127	76
1596	69328	69239	0	21	68	68640	68619	560	543	128	77
1595	69740	69650	0	22	68	69048	69026	564	547	128	77
1594	70118	70028	0	22	68	69425	69403	565	548	128	77
1593	70502	70412	0	22	68	69803	69781	571	554	128	77
1592	70878	70787	0	22	69	70173	70151	576	559	129	77
1591	71230	71139	0	22	69	70522	70500	578	561	130	78
1590	71586	71495	0	22	69	70876	70854	580	563	130	78
1589	71943	71851	0	22	70	71228	71206	583	566	132	79
1588	72304	72210	0	24	70	71582	71558	590	573	132	79
1587	72690	72594	0	24	72	71958	71934	597	580	135	80
1586	73056	72960	0	24	72	72322	72298	598	581	136	81
1585	73378	73281	0	24	73	72643	72619	598	581	137	81
1584	73726	73627	0	24	75	72986	72962	601	584	139	81
1583	74075	73972	0	26	77	73330	73304	605	587	140	81
1582	74404	74299	0	26	79	73656	73630	606	588	142	81
1581	74762	74657	0	26	79	74010	73984	608	590	144	83
1580	75089	74983	0	26	80	74333	74307	612	593	144	83
1579	75409	75303	0	26	80	74649	74623	616	597	144	83
1578	75729	75623	0	26	80	74964	74938	618	599	147	86
1577	76064	75957	0	26	81	75296	75270	619	600	149	87
1576	76386	76278	0	26	82	75614	75588	622	603	150	87
1575	76695	76585	0	26	84	75917	75891	626	607	152	87
1574	77018	76905	0	27	86	76233	76206	631	611	154	88
1573	77382	77268	0	28	86	76595	76567	633	613	154	88
1572	77700	77586	0	28	86	76910	76882	636	616	154	88
1571	77999	77880	0	32	87	77206	77174	639	618	154	88
1570	78313	78192	0	33	88	77514	77481	644	622	155	89
1569	78627	78505	0	34	88	77826	77792	646	624	155	89
1568	78927	78805	0	34	88	78124	78090	648	626	155	89
1567	79209	79087	0	34	88	78402	78368	651	629	156	90
1566	79507	79384	1	34	88	78698	78663	653	631	156	90
1565	79778	79655	1	34	88	78965	78930	657	635	156	90
1564	80052	79929	1	34	88	79235	79200	661	639	156	90
1563	80324	80201	1	34	88	79505	79470	661	639	158	92
1562	80633	80510	1	34	88	79811	79776	663	641	159	93
1561	80948	80824	1	35	88	80123	80087	666	644	159	93
1560	81232	81107	1	35	89	80405	80369	668	645	159	93
1559	81514	81389	1	35	89	80685	80649	669	646	160	94
1558	81791	81663	1	36	91	80960	80923	669	646	162	94
1557	82048	81918	1	37	92	81214	81176	671	648	163	94
1556	82321	82190	1	37	93	81484	81446	673	650	164	94
1555	82584	82452	1	37	94	81744	81705	676	653	164	94
