0	SRP062284	SRS1028235	SRX1142363	SRR2176383
1	SRP041044	SRS590139	SRX512966	SRR1222590
2	SRP000941	SRS309362	SRX142110	SRR486240
3	SRP007461	SRS358723	SRX179435	SRR545701
4	SRP007461	SRS358731	SRX179443	SRR545717
5	SRP007461	SRS358726	SRX179438	SRR545708
6	SRP032833	SRS500744	SRX375508	SRR1027998
7	SRP018254	SRS387915	SRX220347	SRR653398
8	SRP015003	SRS359270	SRX180607	SRR546584
9	SRP050089	SRS749158	SRX764799	SRR1658438
10	SRP056742	SRS889502	SRX974277	SRR1947742
11	SRP007605	SRS254691	SRX087132	SRR324688
12	SRP048971	SRS722721	SRX734215	SRR1613936
13	SRP059357	SRS958877	SRX1056208	SRR2060071
14	SRP028594	SRS468088	SRX332650	SRR949104
15	SRP064652	SRS1109856	SRX1322308	SRR2601022
16	SRP007525	SRS241908	SRX084573	SRR315113
17	SRP056330	SRS877023	SRX959881	SRR1919601
18	SRP007461	SRS353543	SRX174318	SRR534302
19	SRP030639	SRS488632	SRX361687	SRR1004858
20	SRP000941	SRS306621	SRX190140	SRR651701
21	SRP040472	SRS580250	SRX498459	SRR1201627
22	SRP032775	SRS562567	SRX476852	SRR1177741
23	SRP051844	SRS812767	SRX834777	SRR1747189
24	SRP040070	SRS572515	SRX489004	SRR1191990
25	SRP056295	SRS876106	SRX959050	SRR1918704
26	SRP003754	SRS352008	SRX171100	SRR527644
27	SRP056295	SRS876303	SRX958854	SRR1918312
28	SRP056066	SRS872071	SRX951878	SRR1910228
29	SRP056295	SRS876136	SRX959020	SRR1918644
30	SRP049097	SRS724978	SRX737068	SRR1617453
31	SRP051844	SRS812736	SRX834747	SRR1747159
32	SRP068290	SRS1256265	SRX1539776	SRR3096511
33	SRP023270	SRS429979	SRX287272	SRR869302
34	SRP021214	SRS415081	SRX269418	SRR831699
35	SRP016118	SRS369272	SRX195298	SRR592578
36	SRP039348	SRS565530	SRX480674	SRR1182273
37	SRP029452	SRS476136	SRX343709	SRR962603
38	SRP065812	SRS1152607	SRX1418752	SRR2926064
39	SRP052763	SRS826579	SRX852294	SRR1771984
40	SRP034875	SRS523860	SRX404158	SRR1067993
41	SRP056295	SRS876108	SRX959047	SRR1918698
42	SRP056295	SRS876226	SRX958932	SRR1918467
43	SRP026600	SRS455408	SRX318448	SRR926678
44	SRP034875	SRS523838	SRX404136	SRR1067975
45	SRP067661	SRS1217891	SRX1495161	SRR3039617
46	SRP055874	SRS865015	SRX902277	SRR1839792
47	SRP032775	SRS562510	SRX476795	SRR1177684
48	SRP063867	SRS1074403	SRX1261751	SRR2453328
49	SRP056295	SRS876316	SRX958852	SRR1918307
50	SRP062773	SRS1044108	SRX1162892	SRR2180193
51	SRP040998	SRS589601	SRX512229	SRR1220160
52	SRP065812	SRS1152616	SRX1418743	SRR2926055
53	SRP056295	SRS876328	SRX958831	SRR1918265
54	SRP042620	SRS624344	SRX559801	SRR1313150
55	SRP040472	SRS580333	SRX498648	SRR1201814
56	SRP052740	SRS824593	SRX849791	SRR1768841
57	SRP049063	SRS724589	SRX736488	SRR1616878
58	SRP053794	SRS842889	SRX872702	SRR1798167
59	SRP045441	SRS679543	SRX675937	SRR1544487
60	SRP045905	SRS692674	SRX690154	SRR1561868
61	SRP048759	SRS718927	SRX729601	SRR1608713
62	SRP043162	SRS635252	SRX592357	SRR1383409
63	ERP000546	ERS025087	ERX011189	ERR030859
64	ERP006215	ERS529340	ERX681494	ERR737803
65	SRP042620	SRS624409	SRX559866	SRR1313215
66	SRP056477	SRS882128	SRX966650	SRR1927048
67	ERP009437	ERS653457	ERX696293	ERR752611
68	SRP045905	SRS692678	SRX690158	SRR1561872
69	SRP043162	SRS635220	SRX592325	SRR1383377
70	SRP042596	SRS623303	SRX556225	SRR1304024
71	ERP009437	ERS653456	ERX696289	ERR752607
72	SRP029880	SRS478704	SRX347927	SRR975591
73	SRP032775	SRS500015	SRX374647	SRR1026957
74	SRP062178	SRS1025442	SRX1137213	SRR2149952
75	SRP059959	SRS975916	SRX1077045	SRR2082485
76	SRP058626	SRS943777	SRX1036664	SRR2037293
77	SRP032775	SRS499971	SRX374603	SRR1026899
78	ERP009437	ERS653490	ERX696393	ERR752711
79	ERP003613	ERS326999	ERX288569	ERR315375
80	SRP028530	SRS467588	SRX332545	SRR949011
81	SRP050061	SRS748461	SRX764080	SRR1657557
82	SRP029880	SRS478669	SRX347892	SRR975556
83	SRP029591	SRS552850	SRX464652	SRR1161083
84	SRP047192	SRS701747	SRX701882	SRR1576176
85	SRP042596	SRS623312	SRX556233	SRR1304039
86	SRP047192	SRS701730	SRX701864	SRR1576158
87	SRP029262	SRS473900	SRX340165	SRR957919
88	SRP060253	SRS977095	SRX1078789	SRR2084604
89	ERP009437	ERS653493	ERX696402	ERR752720
90	ERP010372	ERS738101	ERX974148	ERR894745
91	SRP008218	SRS408158	SRX259974	SRR808400
92	SRP027383	SRS457735	SRX322656	SRR934771
93	SRP050551	SRS779732	SRX796288	SRR1693460
94	SRP029262	SRS473910	SRX340176	SRR957930
95	SRP027383	SRS457830	SRX322752	SRR934867
96	ERP003259	ERS252028	ERX269432	ERR296095
97	ERP004697	ERS399655	ERX386679	ERR420387
98	SRP033095	SRS503276	SRX378480	SRR1297309
99	SRP044042	SRS653520	SRX645353	SRR1506038
100	SRP049340	SRS944462	SRX1037202	SRR2038471
101	SRP062178	SRS1025428	SRX1137195	SRR2149942
102	SRP062966	SRS1048036	SRX1168385	SRR2443260
103	SRP042184	SRS618263	SRX550525	SRR1296014
104	ERP010930	ERS785346	ERX1031454	ERR952484
105	SRP058375	SRS937782	SRX1029302	SRR2027898
106	SRP043960	SRS651967	SRX643089	SRR1503217
107	SRP044766	SRS665424	SRX660425	SRR1523653
108	SRP041538	SRS598726	SRX529029	SRR1265640
109	SRP055027	SRS920478	SRX1007599	SRR1993676
110	SRP049061	SRS724569	SRX736467	SRR1616855
111	SRP050440	SRS777048	SRX793261	SRR1688417
112	SRP032775	SRS499994	SRX374626	SRR1026932
113	SRP026387	SRS453954	SRX316654	SRR923921
114	SRP042620	SRS624395	SRX559851	SRR1313200
115	SRP014574	SRS358027	SRX181269	SRR547992
116	SRP027383	SRS457861	SRX322783	SRR934898
117	SRP042153	SRS616756	SRX548794	SRR1294116
118	SRP062966	SRS1048118	SRX1168303	SRR2443178
119	SRP045823	SRS691223	SRX688661	SRR1560208
120	SRP058722	SRS945536	SRX1038717	SRR2040342
121	SRP064894	SRS1130669	SRX1372088	SRR2678181
122	SRP056498	SRS882930	SRX967547	SRR1928035
123	SRP042620	SRS624367	SRX559822	SRR1313171
124	SRP022133	SRS418762	SRX275456	SRR846959
125	SRP035599	SRS541418	SRX446303	SRR1139377
126	SRP027383	SRS457924	SRX322846	SRR934961
127	SRP034528	SRS515814	SRX392824	SRR1050948
128	SRP052294	SRS820211	SRX844280	SRR1760947
129	SRP035988	SRS544593	SRX451381	SRR1146156
130	SRP049061	SRS724568	SRX736466	SRR1616852
131	SRP060355	SRS979182	SRX1081297	SRR2087302
132	SRP060598	SRS986534	SRX1090857	SRR2095298
133	SRP047194	SRS702037	SRX702173	SRR1576470
134	SRP044084	SRS654509	SRX647206	SRR1508172
135	SRP034736	SRS1115829	SRX1338936	SRR2659284
136	SRP019980	SRS266260	SRX254950	SRR796735
137	SRP027383	SRS457690	SRX322612	SRR934727
138	SRP051765	SRS810668	SRX832380	SRR1744439
139	SRP062287	SRS1028385	SRX1142425	SRR2155417
140	SRP056197	SRS874625	SRX957226	SRR1916315
141	SRP035599	SRS541429	SRX446314	SRR1139388
142	SRP000941	SRS366514	SRX263858	SRR1220429
143	SRP044668	SRS663198	SRX658039	SRR1521412
144	SRP050971	SRS783132	SRX800841	SRR1698146
145	SRP041885	SRS605289	SRX540264	SRR1283419
146	SRP050971	SRS783131	SRX800840	SRR1698145
147	ERP001942	ERS185173	ERX162781	ERR188118
